"NAPS","Time","O3","NO2"
60435,2019-06-29 00:00:00,16,27
60435,2019-06-29 01:00:00,19,23
60435,2019-06-29 02:00:00,28,12
60435,2019-06-29 03:00:00,21,16
60435,2019-06-29 04:00:00,14,15
60435,2019-06-29 05:00:00,10,17
60435,2019-06-29 06:00:00,20,14
60435,2019-06-29 07:00:00,23,16
60435,2019-06-29 08:00:00,30,9
60435,2019-06-29 09:00:00,38,6
60435,2019-06-29 10:00:00,43,6
60435,2019-06-29 11:00:00,47,7
60435,2019-06-29 12:00:00,55,5
60435,2019-06-29 13:00:00,62,5
60435,2019-06-29 14:00:00,61,5
60435,2019-06-29 15:00:00,49,4
60435,2019-06-29 16:00:00,43,4
60435,2019-06-29 17:00:00,42,4
60435,2019-06-29 18:00:00,42,4
60435,2019-06-29 19:00:00,39,6
60435,2019-06-29 20:00:00,29,9
60435,2019-06-29 21:00:00,24,10
60435,2019-06-29 22:00:00,23,9
60435,2019-06-29 23:00:00,26,5
60435,2019-06-30 00:00:00,27,4
60435,2019-06-30 01:00:00,27,5
60435,2019-06-30 02:00:00,29,4
60435,2019-06-30 03:00:00,28,3
60435,2019-06-30 04:00:00,25,2
60435,2019-06-30 05:00:00,21,2
60435,2019-06-30 06:00:00,18,2
60435,2019-06-30 07:00:00,18,2
60435,2019-06-30 08:00:00,20,2
60435,2019-06-30 09:00:00,19,2
60435,2019-06-30 10:00:00,20,2
60435,2019-06-30 11:00:00,20,2
60435,2019-06-30 12:00:00,-999,2
60435,2019-06-30 13:00:00,21,2
60435,2019-06-30 14:00:00,22,2
60435,2019-06-30 15:00:00,23,2
60435,2019-06-30 16:00:00,23,2
60435,2019-06-30 17:00:00,29,2
60435,2019-06-30 18:00:00,31,3
60435,2019-06-30 19:00:00,30,5
60435,2019-06-30 20:00:00,26,7
60435,2019-06-30 21:00:00,18,6
60435,2019-06-30 22:00:00,17,6
60435,2019-06-30 23:00:00,18,4
60435,2019-07-01 00:00:00,15,5
60435,2019-07-01 01:00:00,12,7
60435,2019-07-01 02:00:00,10,8
60435,2019-07-01 03:00:00,7,11
60435,2019-07-01 04:00:00,5,13
60435,2019-07-01 05:00:00,5,13
60435,2019-07-01 06:00:00,10,8
60435,2019-07-01 07:00:00,13,8
60435,2019-07-01 08:00:00,15,7
60435,2019-07-01 09:00:00,18,8
60435,2019-07-01 10:00:00,29,4
60435,2019-07-01 11:00:00,35,6
60435,2019-07-01 12:00:00,43,4
60435,2019-07-01 13:00:00,45,4
60435,2019-07-01 14:00:00,43,3
60435,2019-07-01 15:00:00,-999,3
60435,2019-07-01 16:00:00,41,3
60435,2019-07-01 17:00:00,39,3
60435,2019-07-01 18:00:00,40,3
60435,2019-07-01 19:00:00,34,9
60435,2019-07-01 20:00:00,28,15
60435,2019-07-01 21:00:00,18,23
60435,2019-07-01 22:00:00,15,24
60435,2019-07-01 23:00:00,15,21
60435,2019-07-02 00:00:00,16,19
60435,2019-07-02 01:00:00,29,9
60435,2019-07-02 02:00:00,28,9
60435,2019-07-02 03:00:00,21,13
60435,2019-07-02 04:00:00,15,21
60435,2019-07-02 05:00:00,7,33
60435,2019-07-02 06:00:00,15,26
60435,2019-07-02 07:00:00,20,18
60435,2019-07-02 08:00:00,20,19
60435,2019-07-02 09:00:00,18,21
60435,2019-07-02 10:00:00,21,18
60435,2019-07-02 11:00:00,19,20
60435,2019-07-02 12:00:00,20,16
60435,2019-07-02 13:00:00,28,14
60435,2019-07-02 14:00:00,26,18
60435,2019-07-02 15:00:00,27,17
60435,2019-07-02 16:00:00,33,10
60435,2019-07-02 17:00:00,32,9
60435,2019-07-02 18:00:00,31,9
60435,2019-07-02 19:00:00,30,8
60435,2019-07-02 20:00:00,23,12
60435,2019-07-02 21:00:00,16,20
60435,2019-07-02 22:00:00,7,25
60435,2019-07-02 23:00:00,8,26
60435,2019-07-03 00:00:00,17,14
60435,2019-07-03 01:00:00,22,10
60435,2019-07-03 02:00:00,20,11
60435,2019-07-03 03:00:00,20,10
60435,2019-07-03 04:00:00,13,17
60435,2019-07-03 05:00:00,13,17
60435,2019-07-03 06:00:00,10,22
60435,2019-07-03 07:00:00,15,18
60435,2019-07-03 08:00:00,17,18
60435,2019-07-03 09:00:00,20,18
60435,2019-07-03 10:00:00,24,17
60435,2019-07-03 11:00:00,33,17
60435,2019-07-03 12:00:00,40,15
60435,2019-07-03 13:00:00,37,9
60435,2019-07-03 14:00:00,40,7
60435,2019-07-03 15:00:00,40,5
60435,2019-07-03 16:00:00,43,4
60435,2019-07-03 17:00:00,47,3
60435,2019-07-03 18:00:00,49,3
60435,2019-07-03 19:00:00,42,12
60435,2019-07-03 20:00:00,38,13
60435,2019-07-03 21:00:00,17,35
60435,2019-07-03 22:00:00,35,24
60435,2019-07-03 23:00:00,27,34
60435,2019-07-04 00:00:00,14,43
60435,2019-07-04 01:00:00,6,-999
60435,2019-07-04 02:00:00,14,-999
60435,2019-07-04 03:00:00,27,-999
60435,2019-07-04 04:00:00,13,-999
60435,2019-07-04 05:00:00,11,-999
60435,2019-07-04 06:00:00,10,-999
60435,2019-07-04 07:00:00,50,-999
60435,2019-07-04 08:00:00,32,-999
60435,2019-07-04 09:00:00,70,-999
60435,2019-07-04 10:00:00,53,-999
60435,2019-07-04 11:00:00,49,-999
60435,2019-07-04 12:00:00,49,-999
60435,2019-07-04 13:00:00,45,-999
60435,2019-07-04 14:00:00,44,-999
60435,2019-07-04 15:00:00,46,-999
60435,2019-07-04 16:00:00,45,-999
60435,2019-07-04 17:00:00,46,-999
60435,2019-07-04 18:00:00,43,-999
60435,2019-07-04 19:00:00,42,-999
60435,2019-07-04 20:00:00,41,-999
60435,2019-07-04 21:00:00,28,-999
