"NAPS","Time","O3","NO2"
60435,2019-07-02 00:00:00,16,19
60435,2019-07-02 01:00:00,29,9
60435,2019-07-02 02:00:00,28,9
60435,2019-07-02 03:00:00,21,13
60435,2019-07-02 04:00:00,15,21
60435,2019-07-02 05:00:00,7,33
60435,2019-07-02 06:00:00,15,26
60435,2019-07-02 07:00:00,20,18
60435,2019-07-02 08:00:00,20,19
60435,2019-07-02 09:00:00,18,21
60435,2019-07-02 10:00:00,21,18
60435,2019-07-02 11:00:00,19,20
60435,2019-07-02 12:00:00,20,16
60435,2019-07-02 13:00:00,28,14
60435,2019-07-02 14:00:00,26,18
60435,2019-07-02 15:00:00,27,17
60435,2019-07-02 16:00:00,33,10
60435,2019-07-02 17:00:00,32,9
60435,2019-07-02 18:00:00,31,9
60435,2019-07-02 19:00:00,30,8
60435,2019-07-02 20:00:00,23,12
60435,2019-07-02 21:00:00,16,20
60435,2019-07-02 22:00:00,7,25
60435,2019-07-02 23:00:00,8,26
60435,2019-07-03 00:00:00,17,14
60435,2019-07-03 01:00:00,22,10
60435,2019-07-03 02:00:00,20,11
60435,2019-07-03 03:00:00,20,10
60435,2019-07-03 04:00:00,13,17
60435,2019-07-03 05:00:00,13,17
60435,2019-07-03 06:00:00,10,22
60435,2019-07-03 07:00:00,15,18
60435,2019-07-03 08:00:00,17,18
60435,2019-07-03 09:00:00,20,18
60435,2019-07-03 10:00:00,24,17
60435,2019-07-03 11:00:00,-999,17
60435,2019-07-03 12:00:00,40,15
60435,2019-07-03 13:00:00,37,9
60435,2019-07-03 14:00:00,40,7
60435,2019-07-03 15:00:00,40,5
60435,2019-07-03 16:00:00,43,4
60435,2019-07-03 17:00:00,47,3
60435,2019-07-03 18:00:00,49,3
60435,2019-07-03 19:00:00,42,12
60435,2019-07-03 20:00:00,38,13
60435,2019-07-03 21:00:00,17,35
60435,2019-07-03 22:00:00,35,24
60435,2019-07-03 23:00:00,27,34
60435,2019-07-04 00:00:00,14,43
60435,2019-07-04 01:00:00,6,-999
60435,2019-07-04 02:00:00,14,-999
60435,2019-07-04 03:00:00,27,-999
60435,2019-07-04 04:00:00,13,-999
60435,2019-07-04 05:00:00,11,-999
60435,2019-07-04 06:00:00,10,-999
60435,2019-07-04 07:00:00,50,-999
60435,2019-07-04 08:00:00,32,-999
60435,2019-07-04 09:00:00,70,-999
60435,2019-07-04 10:00:00,53,-999
60435,2019-07-04 11:00:00,49,-999
60435,2019-07-04 12:00:00,49,-999
60435,2019-07-04 13:00:00,45,-999
60435,2019-07-04 14:00:00,44,-999
60435,2019-07-04 15:00:00,46,-999
60435,2019-07-04 16:00:00,45,-999
60435,2019-07-04 17:00:00,46,-999
60435,2019-07-04 18:00:00,43,-999
60435,2019-07-04 19:00:00,42,-999
60435,2019-07-04 20:00:00,41,-999
60435,2019-07-04 21:00:00,28,-999
60435,2019-07-04 22:00:00,15,-999
60435,2019-07-04 23:00:00,11,-999
60435,2019-07-05 00:00:00,18,-999
60435,2019-07-05 01:00:00,-999,-999
60435,2019-07-05 02:00:00,27,-999
60435,2019-07-05 03:00:00,19,-999
60435,2019-07-05 04:00:00,7,-999
60435,2019-07-05 05:00:00,16,-999
60435,2019-07-05 06:00:00,22,-999
60435,2019-07-05 07:00:00,21,-999
60435,2019-07-05 08:00:00,24,-999
60435,2019-07-05 09:00:00,39,-999
60435,2019-07-05 10:00:00,38,-999
60435,2019-07-05 11:00:00,39,-999
60435,2019-07-05 12:00:00,41,-999
60435,2019-07-05 13:00:00,39,10
60435,2019-07-05 14:00:00,33,16
60435,2019-07-05 15:00:00,39,11
60435,2019-07-05 16:00:00,43,6
60435,2019-07-05 17:00:00,48,5
60435,2019-07-05 18:00:00,47,6
60435,2019-07-05 19:00:00,33,15
60435,2019-07-05 20:00:00,29,16
60435,2019-07-05 21:00:00,31,16
60435,2019-07-05 22:00:00,36,12
60435,2019-07-05 23:00:00,30,13
60435,2019-07-06 00:00:00,32,10
60435,2019-07-06 01:00:00,32,6
60435,2019-07-06 02:00:00,28,8
60435,2019-07-06 03:00:00,36,5
60435,2019-07-06 04:00:00,27,11
60435,2019-07-06 05:00:00,21,15
60435,2019-07-06 06:00:00,22,14
60435,2019-07-06 07:00:00,28,8
60435,2019-07-06 08:00:00,34,4
60435,2019-07-06 09:00:00,39,3
60435,2019-07-06 10:00:00,38,5
60435,2019-07-06 11:00:00,47,6
60435,2019-07-06 12:00:00,59,4
60435,2019-07-06 13:00:00,60,5
60435,2019-07-06 14:00:00,58,6
60435,2019-07-06 15:00:00,51,5
60435,2019-07-06 16:00:00,58,4
60435,2019-07-06 17:00:00,59,6
60435,2019-07-06 18:00:00,54,8
