"NAPS","Time","O3","NO2"
60435,2019-01-12 00:00:00,3,40
60435,2019-01-12 01:00:00,1,44
60435,2019-01-12 02:00:00,1,43
60435,2019-01-12 03:00:00,1,43
60435,2019-01-12 04:00:00,4,37
60435,2019-01-12 05:00:00,8,33
60435,2019-01-12 06:00:00,11,31
60435,2019-01-12 07:00:00,16,26
60435,2019-01-12 08:00:00,13,28
60435,2019-01-12 09:00:00,17,23
60435,2019-01-12 10:00:00,17,23
60435,2019-01-12 11:00:00,21,20
60435,2019-01-12 12:00:00,24,18
60435,2019-01-12 13:00:00,28,14
60435,2019-01-12 14:00:00,25,16
60435,2019-01-12 15:00:00,21,21
60435,2019-01-12 16:00:00,19,25
60435,2019-01-12 17:00:00,27,16
60435,2019-01-12 18:00:00,27,14
60435,2019-01-12 19:00:00,24,17
60435,2019-01-12 20:00:00,24,17
60435,2019-01-12 21:00:00,22,18
60435,2019-01-12 22:00:00,20,20
60435,2019-01-12 23:00:00,22,17
60435,2019-01-13 00:00:00,21,18
60435,2019-01-13 01:00:00,21,18
60435,2019-01-13 02:00:00,20,19
60435,2019-01-13 03:00:00,19,20
60435,2019-01-13 04:00:00,22,16
60435,2019-01-13 05:00:00,24,13
60435,2019-01-13 06:00:00,23,14
60435,2019-01-13 07:00:00,18,20
60435,2019-01-13 08:00:00,13,26
60435,2019-01-13 09:00:00,20,19
60435,2019-01-13 10:00:00,24,14
60435,2019-01-13 11:00:00,28,11
60435,2019-01-13 12:00:00,28,12
60435,2019-01-13 13:00:00,31,8
60435,2019-01-13 14:00:00,31,7
60435,2019-01-13 15:00:00,31,8
60435,2019-01-13 16:00:00,28,11
60435,2019-01-13 17:00:00,26,14
60435,2019-01-13 18:00:00,-999,18
60435,2019-01-13 19:00:00,13,28
60435,2019-01-13 20:00:00,8,32
60435,2019-01-13 21:00:00,6,35
60435,2019-01-13 22:00:00,7,32
60435,2019-01-13 23:00:00,7,32
60435,2019-01-14 00:00:00,4,37
60435,2019-01-14 01:00:00,3,36
60435,2019-01-14 02:00:00,2,37
60435,2019-01-14 03:00:00,2,37
60435,2019-01-14 04:00:00,4,35
60435,2019-01-14 05:00:00,3,35
60435,2019-01-14 06:00:00,1,39
60435,2019-01-14 07:00:00,1,42
60435,2019-01-14 08:00:00,1,42
60435,2019-01-14 09:00:00,9,33
60435,2019-01-14 10:00:00,13,26
60435,2019-01-14 11:00:00,14,26
60435,2019-01-14 12:00:00,16,23
60435,2019-01-14 13:00:00,-999,25
60435,2019-01-14 14:00:00,14,25
60435,2019-01-14 15:00:00,14,24
60435,2019-01-14 16:00:00,12,26
60435,2019-01-14 17:00:00,5,33
60435,2019-01-14 18:00:00,10,26
60435,2019-01-14 19:00:00,16,18
60435,2019-01-14 20:00:00,16,19
60435,2019-01-14 21:00:00,19,16
60435,2019-01-14 22:00:00,13,21
60435,2019-01-14 23:00:00,16,15
60435,2019-01-15 00:00:00,16,16
60435,2019-01-15 01:00:00,14,16
60435,2019-01-15 02:00:00,13,17
60435,2019-01-15 03:00:00,12,17
60435,2019-01-15 04:00:00,13,18
60435,2019-01-15 05:00:00,10,21
60435,2019-01-15 06:00:00,7,26
60435,2019-01-15 07:00:00,6,29
60435,2019-01-15 08:00:00,7,27
60435,2019-01-15 09:00:00,9,25
60435,2019-01-15 10:00:00,12,20
60435,2019-01-15 11:00:00,14,17
60435,2019-01-15 12:00:00,15,16
60435,2019-01-15 13:00:00,16,15
60435,2019-01-15 14:00:00,17,15
60435,2019-01-15 15:00:00,14,17
60435,2019-01-15 16:00:00,18,15
60435,2019-01-15 17:00:00,22,12
60435,2019-01-15 18:00:00,21,13
60435,2019-01-15 19:00:00,21,13
60435,2019-01-15 20:00:00,22,15
60435,2019-01-15 21:00:00,23,14
60435,2019-01-15 22:00:00,27,7
60435,2019-01-15 23:00:00,26,7
60435,2019-01-16 00:00:00,24,8
60435,2019-01-16 01:00:00,24,8
60435,2019-01-16 02:00:00,22,8
60435,2019-01-16 03:00:00,22,8
60435,2019-01-16 04:00:00,21,8
60435,2019-01-16 05:00:00,20,9
60435,2019-01-16 06:00:00,18,11
60435,2019-01-16 07:00:00,15,14
60435,2019-01-16 08:00:00,9,19
60435,2019-01-16 09:00:00,15,19
60435,2019-01-16 10:00:00,24,17
60435,2019-01-16 11:00:00,28,15
60435,2019-01-16 12:00:00,28,13
60435,2019-01-16 13:00:00,27,14
60435,2019-01-16 14:00:00,26,16
60435,2019-01-16 15:00:00,28,14
60435,2019-01-16 16:00:00,26,17
60435,2019-01-16 17:00:00,25,17
60435,2019-01-16 18:00:00,26,17
60435,2019-01-16 19:00:00,24,18
60435,2019-01-16 20:00:00,19,24
60435,2019-01-16 21:00:00,13,28
60435,2019-01-16 22:00:00,7,37
60435,2019-01-16 23:00:00,9,32
60435,2019-01-17 00:00:00,8,33
60435,2019-01-17 01:00:00,6,37
60435,2019-01-17 02:00:00,1,44
60435,2019-01-17 03:00:00,1,47
60435,2019-01-17 04:00:00,1,44
60435,2019-01-17 05:00:00,1,44
60435,2019-01-17 06:00:00,0,47
60435,2019-01-17 07:00:00,1,49
60435,2019-01-17 08:00:00,5,48
60435,2019-01-17 09:00:00,2,43
60435,2019-01-17 10:00:00,2,48
60435,2019-01-17 11:00:00,8,39
60435,2019-01-17 12:00:00,18,24
60435,2019-01-17 13:00:00,27,14
60435,2019-01-17 14:00:00,28,14
60435,2019-01-17 15:00:00,24,19
60435,2019-01-17 16:00:00,25,16
60435,2019-01-17 17:00:00,26,15
60435,2019-01-17 18:00:00,23,18
60435,2019-01-17 19:00:00,26,13
60435,2019-01-17 20:00:00,23,15
60435,2019-01-17 21:00:00,19,22
60435,2019-01-17 22:00:00,17,24
60435,2019-01-17 23:00:00,13,29
