"NAPS","Time","O3","NO2"
60435,2019-07-06 00:00:00,32,10
60435,2019-07-06 01:00:00,32,6
60435,2019-07-06 02:00:00,28,8
60435,2019-07-06 03:00:00,36,5
60435,2019-07-06 04:00:00,27,11
60435,2019-07-06 05:00:00,21,15
60435,2019-07-06 06:00:00,22,14
60435,2019-07-06 07:00:00,28,8
60435,2019-07-06 08:00:00,34,4
60435,2019-07-06 09:00:00,39,3
60435,2019-07-06 10:00:00,38,5
60435,2019-07-06 11:00:00,47,6
60435,2019-07-06 12:00:00,59,4
60435,2019-07-06 13:00:00,60,5
60435,2019-07-06 14:00:00,58,6
60435,2019-07-06 15:00:00,51,5
60435,2019-07-06 16:00:00,58,4
60435,2019-07-06 17:00:00,59,6
60435,2019-07-06 18:00:00,54,8
60435,2019-07-06 19:00:00,35,9
60435,2019-07-06 20:00:00,20,11
60435,2019-07-06 21:00:00,20,9
60435,2019-07-06 22:00:00,21,8
60435,2019-07-06 23:00:00,19,11
60435,2019-07-07 00:00:00,18,10
60435,2019-07-07 01:00:00,12,11
60435,2019-07-07 02:00:00,13,8
60435,2019-07-07 03:00:00,14,9
60435,2019-07-07 04:00:00,12,10
60435,2019-07-07 05:00:00,17,4
60435,2019-07-07 06:00:00,19,2
60435,2019-07-07 07:00:00,20,2
60435,2019-07-07 08:00:00,20,3
60435,2019-07-07 09:00:00,21,3
60435,2019-07-07 10:00:00,-999,3
60435,2019-07-07 11:00:00,22,1
60435,2019-07-07 12:00:00,21,0
60435,2019-07-07 13:00:00,21,1
60435,2019-07-07 14:00:00,22,0
60435,2019-07-07 15:00:00,23,0
60435,2019-07-07 16:00:00,25,0
60435,2019-07-07 17:00:00,26,0
60435,2019-07-07 18:00:00,25,0
60435,2019-07-07 19:00:00,25,1
60435,2019-07-07 20:00:00,19,8
60435,2019-07-07 21:00:00,19,8
60435,2019-07-07 22:00:00,12,15
60435,2019-07-07 23:00:00,12,12
60435,2019-07-08 00:00:00,15,7
60435,2019-07-08 01:00:00,12,10
60435,2019-07-08 02:00:00,7,15
60435,2019-07-08 03:00:00,9,13
60435,2019-07-08 04:00:00,4,20
60435,2019-07-08 05:00:00,3,24
60435,2019-07-08 06:00:00,4,23
60435,2019-07-08 07:00:00,6,21
60435,2019-07-08 08:00:00,12,17
60435,2019-07-08 09:00:00,16,15
60435,2019-07-08 10:00:00,20,15
60435,2019-07-08 11:00:00,29,9
60435,2019-07-08 12:00:00,36,6
60435,2019-07-08 13:00:00,36,3
60435,2019-07-08 14:00:00,31,4
60435,2019-07-08 15:00:00,31,3
60435,2019-07-08 16:00:00,34,3
60435,2019-07-08 17:00:00,31,3
60435,2019-07-08 18:00:00,25,5
60435,2019-07-08 19:00:00,24,7
60435,2019-07-08 20:00:00,19,13
60435,2019-07-08 21:00:00,10,24
60435,2019-07-08 22:00:00,1,38
60435,2019-07-08 23:00:00,1,36
60435,2019-07-09 00:00:00,5,22
60435,2019-07-09 01:00:00,-999,14
60435,2019-07-09 02:00:00,6,18
60435,2019-07-09 03:00:00,7,17
60435,2019-07-09 04:00:00,3,24
60435,2019-07-09 05:00:00,3,25
60435,2019-07-09 06:00:00,3,27
60435,2019-07-09 07:00:00,5,26
60435,2019-07-09 08:00:00,8,23
60435,2019-07-09 09:00:00,13,20
