"Date","NO2","O3"
43115,3,35
43115.0416666667,2,36
43115.0833333333,2,36
43115.125,2,36
43115.1666666667,2,36
43115.2083333333,2,36
43115.25,2,37
43115.2916666667,4,36
43115.3333333333,10,28
43115.375,11,28
43115.4166666667,9,29
43115.4583333333,6,31
43115.5,11,27
43115.5416666667,11,27
43115.5833333333,9,30
43115.625,8,32
43115.6666666667,9,30
43115.7083333333,17,21
43115.75,17,21
43115.7916666667,17,21
43115.8333333333,19,19
43115.875,19,18
43115.9166666667,20,17
43115.9583333333,20,16
43116,23,14
43116.0416666667,21,14
43116.0833333333,21,14
43116.125,23,12
43116.1666666667,22,12
43116.2083333333,25,10
43116.25,29,6
43116.2916666667,36,2
43116.3333333333,37,3
43116.375,34,5
43116.4166666667,30,8
43116.4583333333,27,12
43116.5,26,13
43116.5416666667,21,16
43116.5833333333,18,20
43116.625,17,22
43116.6666666667,25,15
43116.7083333333,31,8
43116.75,34,4
43116.7916666667,26,10
43116.8333333333,34,4
43116.875,33,5
43116.9166666667,24,10
43116.9583333333,24,11
43117,16,17
43117.0416666667,19,12
43117.0833333333,23,8
43117.125,26,5
43117.1666666667,32,1
43117.2083333333,31,2
43117.25,33,2
43117.2916666667,39,1
43117.3333333333,37,2
43117.375,31,6
43117.4166666667,23,14
43117.4583333333,19,21
43117.5,15,26
43117.5416666667,13,28
43117.5833333333,13,28
43117.625,15,26
43117.6666666667,16,24
43117.7083333333,18,22
43117.75,18,22
43117.7916666667,17,22
43117.8333333333,16,21
43117.875,15,23
43117.9166666667,15,22
43117.9583333333,16,21
43118,15,21
43118.0416666667,17,19
43118.0833333333,16,20
43118.125,17,-999
43118.1666666667,17,20
43118.2083333333,16,21
43118.25,18,18
43118.2916666667,20,16
43118.3333333333,21,15
43118.375,21,16
43118.4166666667,18,17
43118.4583333333,18,18
43118.5,17,18
43118.5416666667,17,18
43118.5833333333,19,17
43118.625,21,15
43118.6666666667,20,16
43118.7083333333,19,17
43118.75,17,19
43118.7916666667,17,20
43118.8333333333,17,21
43118.875,19,19
43118.9166666667,19,20
43118.9583333333,19,19
43119,22,16
43119.0416666667,25,14
43119.0833333333,26,13
43119.125,25,14
43119.1666666667,23,15
43119.2083333333,19,17
43119.25,20,15
43119.2916666667,24,12
43119.3333333333,24,12
43119.375,22,15
43119.4166666667,18,19
43119.4583333333,17,22
43119.5,14,24
43119.5416666667,15,26
43119.5833333333,15,27
43119.625,17,26
43119.6666666667,20,25
43119.7083333333,21,23
43119.75,17,27
43119.7916666667,16,28
43119.8333333333,16,30
43119.875,15,32
43119.9166666667,14,32
43119.9583333333,12,33
43120,11,34
43120.0416666667,11,33
43120.0833333333,11,32
43120.125,12,30
43120.1666666667,13,28
43120.2083333333,16,25
43120.25,18,22
43120.2916666667,20,20
43120.3333333333,19,20
43120.375,18,20
43120.4166666667,16,20
43120.4583333333,14,22
43120.5,12,25
43120.5416666667,12,27
43120.5833333333,13,27
43120.625,15,26
43120.6666666667,20,21
43120.7083333333,26,15
43120.75,23,17
43120.7916666667,27,14
43120.8333333333,33,8
43120.875,36,5
43120.9166666667,33,6
43120.9583333333,36,2
43121,36,1
43121.0416666667,36,1
43121.0833333333,35,2
43121.125,-999,-999
43121.1666666667,36,1
43121.2083333333,34,-999
43121.25,33,1
43121.2916666667,34,1
43121.3333333333,34,2
43121.375,26,7
43121.4166666667,15,14
43121.4583333333,12,17
43121.5,14,17
43121.5416666667,20,15
43121.5833333333,19,15
43121.625,13,20
43121.6666666667,11,21
43121.7083333333,13,19
43121.75,11,21
43121.7916666667,11,21
43121.8333333333,12,20
43121.875,12,21
43121.9166666667,13,20
43121.9583333333,19,13
