"Date","NO2","O3"
43104,25,9
43104.0416666667,25,9
43104.0833333333,27,7
43104.125,32,3
43104.1666666667,33,3
43104.2083333333,29,8
43104.25,18,17
43104.2916666667,18,17
43104.3333333333,19,17
43104.375,12,24
43104.4166666667,10,26
43104.4583333333,9,27
43104.5,9,27
43104.5416666667,9,27
43104.5833333333,8,28
43104.625,8,27
43104.6666666667,9,27
43104.7083333333,11,25
43104.75,10,25
43104.7916666667,9,26
43104.8333333333,9,28
43104.875,6,30
43104.9166666667,6,31
43104.9583333333,6,30
43105,6,30
43105.0416666667,6,30
43105.0833333333,6,29
43105.125,6,28
43105.1666666667,7,28
43105.2083333333,10,27
43105.25,17,21
43105.2916666667,14,23
43105.3333333333,17,19
43105.375,12,25
43105.4166666667,9,26
43105.4583333333,7,27
43105.5,7,28
43105.5416666667,7,27
43105.5833333333,7,28
43105.625,8,28
43105.6666666667,12,24
43105.7083333333,17,19
43105.75,15,21
43105.7916666667,14,22
43105.8333333333,14,23
43105.875,17,20
43105.9166666667,13,23
43105.9583333333,7,29
43106,8,28
43106.0416666667,10,25
43106.0833333333,10,25
43106.125,10,25
43106.1666666667,10,24
43106.2083333333,11,24
43106.25,12,24
43106.2916666667,13,22
43106.3333333333,13,22
43106.375,8,26
43106.4166666667,8,27
43106.4583333333,7,28
43106.5,7,28
43106.5416666667,7,28
43106.5833333333,6,30
43106.625,8,29
43106.6666666667,11,27
43106.7083333333,19,20
43106.75,23,16
43106.7916666667,30,-999
43106.8333333333,34,7
43106.875,39,3
43106.9166666667,42,2
43106.9583333333,45,1
43107,43,2
43107.0416666667,47,1
43107.0833333333,47,1
43107.125,-999,-999
43107.1666666667,46,1
43107.2083333333,48,1
43107.25,40,5
43107.2916666667,21,21
43107.3333333333,21,22
43107.375,15,23
43107.4166666667,11,27
43107.4583333333,13,26
43107.5,11,29
43107.5416666667,9,31
43107.5833333333,9,32
43107.625,11,30
43107.6666666667,15,26
43107.7083333333,13,28
43107.75,14,27
43107.7916666667,14,27
43107.8333333333,13,28
43107.875,15,26
43107.9166666667,11,29
43107.9583333333,12,27
43108,12,27
43108.0416666667,10,29
43108.0833333333,10,27
43108.125,11,25
43108.1666666667,11,25
43108.2083333333,13,24
43108.25,15,22
43108.2916666667,15,20
43108.3333333333,15,21
43108.375,13,22
43108.4166666667,16,20
43108.4583333333,17,19
43108.5,17,-999
43108.5416666667,19,16
43108.5833333333,15,17
43108.625,16,16
43108.6666666667,17,17
43108.7083333333,18,16
43108.75,19,16
43108.7916666667,12,25
43108.8333333333,12,25
43108.875,8,29
43108.9166666667,7,29
43108.9583333333,7,28
43109,8,28
43109.0416666667,10,27
43109.0833333333,12,26
43109.125,12,25
43109.1666666667,9,26
43109.2083333333,9,24
43109.25,11,22
43109.2916666667,17,16
43109.3333333333,19,15
43109.375,20,13
43109.4166666667,16,17
43109.4583333333,12,20
43109.5,14,18
43109.5416666667,14,18
43109.5833333333,13,18
43109.625,16,15
43109.6666666667,22,9
43109.7083333333,23,8
43109.75,21,9
43109.7916666667,26,5
43109.8333333333,28,3
43109.875,28,4
43109.9166666667,31,2
43109.9583333333,22,10
43110,18,15
43110.0416666667,11,21
43110.0833333333,8,25
43110.125,8,26
43110.1666666667,12,21
43110.2083333333,16,19
43110.25,16,20
43110.2916666667,21,16
43110.3333333333,15,24
43110.375,6,32
43110.4166666667,6,31
43110.4583333333,7,30
43110.5,5,32
43110.5416666667,5,32
43110.5833333333,6,31
43110.625,9,29
43110.6666666667,10,28
43110.7083333333,10,28
43110.75,11,26
43110.7916666667,14,22
43110.8333333333,16,19
43110.875,18,17
43110.9166666667,19,15
43110.9583333333,24,10
