"Date","NO2","O3"
43280,11,28
43280.0416666667,11,27
43280.0833333333,9,31
43280.125,9,32
43280.1666666667,11,31
43280.2083333333,19,23
43280.25,18,26
43280.2916666667,18,28
43280.3333333333,9,41
43280.375,8,45
43280.4166666667,7,47
43280.4583333333,6,47
43280.5,10,57
43280.5416666667,9,68
43280.5833333333,7,67
43280.625,6,65
43280.6666666667,5,68
43280.7083333333,7,59
43280.75,6,52
43280.7916666667,8,50
43280.8333333333,11,47
43280.875,12,42
43280.9166666667,10,44
43280.9583333333,13,38
43281,11,37
43281.0416666667,10,39
43281.0833333333,7,44
43281.125,18,30
43281.1666666667,13,30
43281.2083333333,15,28
43281.25,12,34
43281.2916666667,10,40
43281.3333333333,10,38
43281.375,9,42
43281.4166666667,8,-999
43281.4583333333,7,56
43281.5,6,56
43281.5416666667,5,56
43281.5833333333,4,58
43281.625,4,58
43281.6666666667,5,58
43281.7083333333,4,57
43281.75,6,51
43281.7916666667,6,51
43281.8333333333,6,48
43281.875,9,42
43281.9166666667,7,40
43281.9583333333,7,41
43282,6,44
43282.0416666667,7,41
43282.0833333333,8,35
43282.125,-999,-999
43282.1666666667,-999,-999
43282.2083333333,-999,-999
43282.25,-999,-999
43282.2916666667,-999,-999
43282.3333333333,-999,-999
43282.375,-999,-999
43282.4166666667,-999,-999
43282.4583333333,-999,-999
43282.5,-999,-999
43282.5416666667,-999,46
43282.5833333333,4,58
43282.625,3,57
43282.6666666667,5,56
43282.7083333333,4,60
43282.75,4,54
43282.7916666667,7,51
43282.8333333333,9,47
43282.875,7,47
43282.9166666667,8,45
43282.9583333333,8,46
43283,6,47
43283.0416666667,4,49
43283.0833333333,3,48
43283.125,4,44
43283.1666666667,5,38
43283.2083333333,7,34
43283.25,7,31
43283.2916666667,7,32
43283.3333333333,7,38
43283.375,5,46
43283.4166666667,5,53
43283.4583333333,4,55
43283.5,4,55
43283.5416666667,4,50
43283.5833333333,4,51
43283.625,4,45
43283.6666666667,5,45
43283.7083333333,4,37
43283.75,6,35
43283.7916666667,4,35
43283.8333333333,6,31
43283.875,6,29
43283.9166666667,7,28
43283.9583333333,8,27
43284,7,29
43284.0416666667,8,24
43284.0833333333,10,18
43284.125,11,17
43284.1666666667,15,11
43284.2083333333,20,7
43284.25,19,17
43284.2916666667,13,29
43284.3333333333,8,34
43284.375,5,39
43284.4166666667,5,44
43284.4583333333,4,50
43284.5,4,49
43284.5416666667,2,46
43284.5833333333,2,42
43284.625,2,38
43284.6666666667,2,39
43284.7083333333,2,38
43284.75,2,38
43284.7916666667,4,36
43284.8333333333,9,27
43284.875,8,28
43284.9166666667,11,24
43284.9583333333,17,16
43285,15,17
43285.0416666667,18,15
43285.0833333333,23,9
43285.125,27,2
43285.1666666667,26,6
43285.2083333333,25,7
43285.25,15,19
43285.2916666667,9,27
43285.3333333333,3,37
43285.375,3,39
43285.4166666667,2,40
43285.4583333333,2,41
43285.5,2,42
43285.5416666667,2,43
43285.5833333333,3,47
43285.625,4,48
43285.6666666667,6,47
43285.7083333333,6,44
43285.75,3,45
43285.7916666667,2,42
43285.8333333333,4,40
43285.875,7,-999
43285.9166666667,10,34
43285.9583333333,15,25
43286,20,21
43286.0416666667,19,16
43286.0833333333,23,10
43286.125,24,8
43286.1666666667,32,2
43286.2083333333,29,6
43286.25,20,17
43286.2916666667,21,20
43286.3333333333,18,26
43286.375,14,35
43286.4166666667,10,42
43286.4583333333,9,49
43286.5,6,54
43286.5416666667,4,51
43286.5833333333,3,52
43286.625,3,50
43286.6666666667,6,47
43286.7083333333,10,37
43286.75,12,30
43286.7916666667,10,29
43286.8333333333,7,32
43286.875,9,26
43286.9166666667,13,23
43286.9583333333,6,26
