"Date","NO2","O3"
43287,3,34
43287.0416666667,2,35
43287.0833333333,2,32
43287.125,2,30
43287.1666666667,3,26
43287.2083333333,6,23
43287.25,7,22
43287.2916666667,6,24
43287.3333333333,4,25
43287.375,5,26
43287.4166666667,5,27
43287.4583333333,6,28
43287.5,6,29
43287.5416666667,5,29
43287.5833333333,7,28
43287.625,6,28
43287.6666666667,8,27
43287.7083333333,6,28
43287.75,7,29
43287.7916666667,6,29
43287.8333333333,7,28
43287.875,7,28
43287.9166666667,9,25
43287.9583333333,8,25
43288,5,28
43288.0416666667,5,26
43288.0833333333,5,25
43288.125,8,21
43288.1666666667,8,21
43288.2083333333,13,16
43288.25,12,17
43288.2916666667,10,21
43288.3333333333,4,28
43288.375,3,30
43288.4166666667,3,32
43288.4583333333,3,34
43288.5,3,35
43288.5416666667,3,37
43288.5833333333,3,38
43288.625,2,33
43288.6666666667,2,32
43288.7083333333,3,33
43288.75,3,37
43288.7916666667,6,34
43288.8333333333,11,27
43288.875,11,25
43288.9166666667,11,23
43288.9583333333,14,19
43289,24,9
43289.0416666667,16,14
43289.0833333333,9,22
43289.125,-999,-999
43289.1666666667,15,10
43289.2083333333,19,8
43289.25,12,14
43289.2916666667,9,24
43289.3333333333,8,29
43289.375,6,35
43289.4166666667,5,40
43289.4583333333,4,41
43289.5,3,40
43289.5416666667,4,48
43289.5833333333,4,51
43289.625,3,48
43289.6666666667,3,50
43289.7083333333,3,46
43289.75,3,42
43289.7916666667,4,41
43289.8333333333,6,39
43289.875,10,36
43289.9166666667,13,31
43289.9583333333,13,29
43290,14,26
43290.0416666667,15,27
43290.0833333333,11,32
43290.125,9,34
43290.1666666667,18,22
43290.2083333333,29,15
43290.25,27,-999
43290.2916666667,29,23
43290.3333333333,23,34
43290.375,20,37
43290.4166666667,16,46
43290.4583333333,11,61
43290.5,8,72
43290.5416666667,7,69
43290.5833333333,6,69
43290.625,6,68
43290.6666666667,7,68
43290.7083333333,7,68
43290.75,6,64
43290.7916666667,9,56
43290.8333333333,8,58
43290.875,7,56
43290.9166666667,7,55
43290.9583333333,7,56
43291,7,55
43291.0416666667,9,48
43291.0833333333,10,46
43291.125,7,47
43291.1666666667,9,42
43291.2083333333,12,34
43291.25,10,30
43291.2916666667,11,25
43291.3333333333,8,25
43291.375,6,28
43291.4166666667,6,-999
43291.4583333333,7,31
43291.5,6,30
43291.5416666667,5,28
43291.5833333333,6,29
43291.625,6,28
43291.6666666667,6,28
43291.7083333333,5,28
43291.75,5,25
43291.7916666667,6,24
43291.8333333333,6,23
43291.875,6,23
43291.9166666667,6,23
43291.9583333333,4,23
43292,4,22
43292.0416666667,4,21
43292.0833333333,5,20
43292.125,5,19
43292.1666666667,9,15
43292.2083333333,15,10
43292.25,15,10
43292.2916666667,11,16
43292.3333333333,5,23
43292.375,4,27
43292.4166666667,5,28
43292.4583333333,6,26
43292.5,5,27
43292.5416666667,6,30
43292.5833333333,-999,-999
43292.625,3,34
43292.6666666667,4,36
43292.7083333333,4,37
43292.75,6,39
43292.7916666667,11,37
43292.8333333333,12,32
43292.875,10,19
43292.9166666667,10,19
43292.9583333333,7,22
43293,8,20
43293.0416666667,5,23
43293.0833333333,5,23
43293.125,5,21
43293.1666666667,10,17
43293.2083333333,17,9
43293.25,21,10
43293.2916666667,15,17
43293.3333333333,14,20
43293.375,8,26
43293.4166666667,15,30
43293.4583333333,16,37
43293.5,6,40
43293.5416666667,4,37
43293.5833333333,5,38
43293.625,3,34
43293.6666666667,3,31
43293.7083333333,5,41
43293.75,8,44
43293.7916666667,9,37
43293.8333333333,14,28
43293.875,13,28
43293.9166666667,13,23
43293.9583333333,11,24
