"Date","NO2","O3"
43285,15,17
43285.0416666667,18,15
43285.0833333333,23,9
43285.125,27,2
43285.1666666667,26,6
43285.2083333333,25,7
43285.25,15,19
43285.2916666667,9,27
43285.3333333333,3,37
43285.375,3,39
43285.4166666667,2,40
43285.4583333333,2,41
43285.5,2,42
43285.5416666667,2,43
43285.5833333333,3,47
43285.625,4,48
43285.6666666667,6,47
43285.7083333333,6,44
43285.75,3,45
43285.7916666667,2,42
43285.8333333333,4,40
43285.875,7,37
43285.9166666667,10,34
43285.9583333333,15,25
43286,20,21
43286.0416666667,19,16
43286.0833333333,23,10
43286.125,24,8
43286.1666666667,32,2
43286.2083333333,29,6
43286.25,20,17
43286.2916666667,21,20
43286.3333333333,18,26
43286.375,14,35
43286.4166666667,10,42
43286.4583333333,9,49
43286.5,6,54
43286.5416666667,4,51
43286.5833333333,3,52
43286.625,3,50
43286.6666666667,6,47
43286.7083333333,10,37
43286.75,12,30
43286.7916666667,10,29
43286.8333333333,7,32
43286.875,9,26
43286.9166666667,13,23
43286.9583333333,6,26
43287,3,34
43287.0416666667,2,35
43287.0833333333,2,32
43287.125,2,30
43287.1666666667,3,26
43287.2083333333,6,23
43287.25,7,22
43287.2916666667,6,24
43287.3333333333,4,25
43287.375,5,26
43287.4166666667,5,27
43287.4583333333,6,28
43287.5,6,29
43287.5416666667,5,29
43287.5833333333,7,28
43287.625,6,28
43287.6666666667,8,27
43287.7083333333,6,28
43287.75,7,29
43287.7916666667,6,29
43287.8333333333,7,28
43287.875,7,28
43287.9166666667,9,25
43287.9583333333,8,25
43288,5,28
43288.0416666667,5,26
43288.0833333333,5,25
43288.125,8,21
43288.1666666667,8,21
43288.2083333333,13,16
43288.25,12,17
43288.2916666667,10,21
43288.3333333333,4,28
43288.375,3,30
43288.4166666667,3,32
43288.4583333333,3,34
43288.5,3,35
43288.5416666667,3,37
43288.5833333333,3,38
43288.625,2,33
43288.6666666667,2,32
43288.7083333333,3,33
43288.75,3,37
43288.7916666667,6,34
43288.8333333333,11,27
43288.875,11,-999
43288.9166666667,11,23
43288.9583333333,14,19
43289,24,9
43289.0416666667,16,14
43289.0833333333,9,22
43289.125,-999,-999
43289.1666666667,15,10
43289.2083333333,19,8
43289.25,12,14
43289.2916666667,9,24
43289.3333333333,8,29
43289.375,6,35
43289.4166666667,5,40
43289.4583333333,4,41
43289.5,3,40
43289.5416666667,4,48
43289.5833333333,4,51
43289.625,3,48
43289.6666666667,3,50
43289.7083333333,3,46
43289.75,3,42
43289.7916666667,4,41
43289.8333333333,6,39
43289.875,10,36
43289.9166666667,13,31
43289.9583333333,13,29
43290,14,26
43290.0416666667,15,27
43290.0833333333,11,32
43290.125,9,34
43290.1666666667,18,22
43290.2083333333,29,15
43290.25,27,21
43290.2916666667,29,23
43290.3333333333,23,34
43290.375,20,37
43290.4166666667,16,46
43290.4583333333,11,61
43290.5,8,72
43290.5416666667,7,69
43290.5833333333,6,69
43290.625,6,-999
43290.6666666667,7,68
43290.7083333333,7,68
43290.75,6,64
43290.7916666667,9,56
43290.8333333333,8,58
43290.875,7,56
43290.9166666667,7,55
43290.9583333333,7,56
43291,7,55
43291.0416666667,9,48
43291.0833333333,10,46
43291.125,7,47
43291.1666666667,9,42
43291.2083333333,12,34
43291.25,10,30
43291.2916666667,11,25
43291.3333333333,8,25
43291.375,6,28
43291.4166666667,6,29
43291.4583333333,7,31
43291.5,6,30
43291.5416666667,5,28
43291.5833333333,6,29
43291.625,6,28
43291.6666666667,6,28
43291.7083333333,5,28
43291.75,5,25
43291.7916666667,6,24
43291.8333333333,6,23
43291.875,6,23
43291.9166666667,6,23
43291.9583333333,4,23
