"Date","NO2","O3"
43294,16,18
43294.0416666667,18,14
43294.0833333333,14,15
43294.125,11,18
43294.1666666667,18,10
43294.2083333333,22,8
43294.25,19,11
43294.2916666667,10,22
43294.3333333333,6,31
43294.375,5,41
43294.4166666667,6,48
43294.4583333333,5,43
43294.5,5,40
43294.5416666667,5,44
43294.5833333333,4,47
43294.625,4,47
43294.6666666667,4,47
43294.7083333333,4,47
43294.75,3,54
43294.7916666667,4,53
43294.8333333333,6,49
43294.875,5,43
43294.9166666667,12,35
43294.9583333333,15,33
43295,10,38
43295.0416666667,13,35
43295.0833333333,12,37
43295.125,13,35
43295.1666666667,16,36
43295.2083333333,15,36
43295.25,19,31
43295.2916666667,22,29
43295.3333333333,17,38
43295.375,11,48
43295.4166666667,9,55
43295.4583333333,11,57
43295.5,14,54
43295.5416666667,16,53
43295.5833333333,16,53
43295.625,14,54
43295.6666666667,10,60
43295.7083333333,11,54
43295.75,9,52
43295.7916666667,12,46
43295.8333333333,14,38
43295.875,12,36
43295.9166666667,19,25
43295.9583333333,17,23
43296,21,17
43296.0416666667,19,16
43296.0833333333,21,12
43296.125,-999,-999
43296.1666666667,17,12
43296.2083333333,12,18
43296.25,11,26
43296.2916666667,6,43
43296.3333333333,3,50
43296.375,3,54
43296.4166666667,2,57
43296.4583333333,4,55
43296.5,2,56
43296.5416666667,2,60
43296.5833333333,2,60
43296.625,2,60
43296.6666666667,2,60
43296.7083333333,1,60
43296.75,2,60
43296.7916666667,3,61
43296.8333333333,8,53
43296.875,9,48
43296.9166666667,10,47
43296.9583333333,11,40
43297,10,43
43297.0416666667,6,44
43297.0833333333,6,41
43297.125,5,39
43297.1666666667,7,33
43297.2083333333,5,37
43297.25,11,27
43297.2916666667,15,31
43297.3333333333,13,36
43297.375,10,48
43297.4166666667,8,56
43297.4583333333,7,59
43297.5,8,48
43297.5416666667,7,53
43297.5833333333,14,47
43297.625,15,43
43297.6666666667,14,44
43297.7083333333,21,37
43297.75,13,-999
43297.7916666667,11,34
43297.8333333333,15,30
43297.875,18,24
43297.9166666667,22,15
43297.9583333333,25,12
43298,18,18
43298.0416666667,13,23
43298.0833333333,11,21
43298.125,7,-999
43298.1666666667,7,21
43298.2083333333,11,17
43298.25,10,18
43298.2916666667,10,19
43298.3333333333,7,21
43298.375,6,23
43298.4166666667,5,21
43298.4583333333,5,19
43298.5,4,19
43298.5416666667,4,19
43298.5833333333,5,19
43298.625,5,19
43298.6666666667,5,19
43298.7083333333,4,17
43298.75,4,18
43298.7916666667,4,16
43298.8333333333,4,14
43298.875,4,14
43298.9166666667,4,15
43298.9583333333,3,15
43299,3,14
43299.0416666667,4,13
43299.0833333333,5,12
43299.125,4,14
43299.1666666667,7,12
43299.2083333333,11,10
43299.25,9,13
43299.2916666667,5,18
43299.3333333333,4,22
43299.375,3,26
43299.4166666667,3,28
43299.4583333333,2,30
43299.5,2,31
43299.5416666667,3,33
43299.5833333333,4,35
43299.625,3,37
43299.6666666667,3,40
43299.7083333333,4,46
43299.75,4,52
43299.7916666667,4,51
43299.8333333333,9,46
43299.875,13,38
43299.9166666667,11,26
43299.9583333333,9,28
43300,6,29
43300.0416666667,8,23
43300.0833333333,13,15
43300.125,12,14
43300.1666666667,11,15
43300.2083333333,18,10
43300.25,16,14
43300.2916666667,15,17
43300.3333333333,12,26
43300.375,7,32
43300.4166666667,7,34
43300.4583333333,8,40
43300.5,6,43
43300.5416666667,7,49
43300.5833333333,6,58
43300.625,5,64
43300.6666666667,4,68
43300.7083333333,4,66
43300.75,4,67
43300.7916666667,6,66
43300.8333333333,6,67
43300.875,8,58
43300.9166666667,8,49
43300.9583333333,7,42
