"Date","NO2","O3"
43102,30,10
43102.0416666667,37,3
43102.0833333333,40,1
43102.125,35,7
43102.1666666667,22,16
43102.2083333333,18,20
43102.25,12,27
43102.2916666667,15,24
43102.3333333333,14,26
43102.375,13,27
43102.4166666667,15,24
43102.4583333333,15,24
43102.5,14,24
43102.5416666667,14,26
43102.5833333333,12,28
43102.625,14,27
43102.6666666667,14,26
43102.7083333333,16,23
43102.75,18,21
43102.7916666667,22,17
43102.8333333333,21,18
43102.875,21,18
43102.9166666667,22,17
43102.9583333333,22,17
43103,19,20
43103.0416666667,17,24
43103.0833333333,15,26
43103.125,17,25
43103.1666666667,11,31
43103.2083333333,10,31
43103.25,12,30
43103.2916666667,14,29
43103.3333333333,15,27
43103.375,17,24
43103.4166666667,13,27
43103.4583333333,13,27
43103.5,12,27
43103.5416666667,15,24
43103.5833333333,15,24
43103.625,13,27
43103.6666666667,14,26
43103.7083333333,17,22
43103.75,15,23
43103.7916666667,14,22
43103.8333333333,20,17
43103.875,23,13
43103.9166666667,26,10
43103.9583333333,28,8
43104,25,9
43104.0416666667,25,9
43104.0833333333,27,7
43104.125,32,3
43104.1666666667,33,3
43104.2083333333,29,8
43104.25,18,17
43104.2916666667,18,17
43104.3333333333,19,17
43104.375,12,24
43104.4166666667,10,26
43104.4583333333,9,27
43104.5,9,27
43104.5416666667,9,27
43104.5833333333,8,28
43104.625,8,27
43104.6666666667,9,27
43104.7083333333,11,25
43104.75,10,25
43104.7916666667,9,26
43104.8333333333,9,28
43104.875,6,30
43104.9166666667,6,31
43104.9583333333,6,30
43105,6,30
43105.0416666667,6,30
43105.0833333333,6,29
43105.125,6,28
43105.1666666667,7,28
43105.2083333333,10,27
43105.25,17,21
43105.2916666667,14,23
43105.3333333333,17,19
43105.375,12,25
43105.4166666667,9,26
43105.4583333333,7,27
43105.5,7,-999
43105.5416666667,7,27
43105.5833333333,7,28
43105.625,8,28
43105.6666666667,12,24
43105.7083333333,17,19
43105.75,15,21
43105.7916666667,14,22
43105.8333333333,14,23
43105.875,17,20
43105.9166666667,13,23
43105.9583333333,7,29
43106,8,28
43106.0416666667,10,25
43106.0833333333,10,25
43106.125,10,25
43106.1666666667,10,24
43106.2083333333,11,24
43106.25,12,24
43106.2916666667,13,22
43106.3333333333,13,22
43106.375,8,26
43106.4166666667,8,27
43106.4583333333,7,28
43106.5,7,28
43106.5416666667,7,28
43106.5833333333,6,30
43106.625,8,29
43106.6666666667,11,27
43106.7083333333,19,20
43106.75,23,16
43106.7916666667,30,10
43106.8333333333,34,7
43106.875,39,3
43106.9166666667,42,2
43106.9583333333,45,1
43107,43,2
43107.0416666667,47,1
43107.0833333333,47,-999
43107.125,-999,-999
43107.1666666667,46,1
43107.2083333333,48,1
43107.25,40,5
43107.2916666667,21,21
43107.3333333333,21,22
43107.375,15,23
43107.4166666667,11,27
43107.4583333333,13,26
43107.5,11,29
43107.5416666667,9,31
43107.5833333333,9,32
43107.625,11,30
43107.6666666667,15,26
43107.7083333333,13,28
43107.75,14,27
43107.7916666667,14,27
43107.8333333333,13,28
43107.875,15,26
43107.9166666667,11,29
43107.9583333333,12,27
43108,12,27
43108.0416666667,10,29
43108.0833333333,10,27
43108.125,11,25
43108.1666666667,11,25
43108.2083333333,13,24
43108.25,15,22
43108.2916666667,15,20
43108.3333333333,15,21
43108.375,13,22
43108.4166666667,16,20
43108.4583333333,17,19
43108.5,17,19
43108.5416666667,19,16
43108.5833333333,15,17
43108.625,16,16
43108.6666666667,17,17
43108.7083333333,18,16
43108.75,19,16
43108.7916666667,12,25
43108.8333333333,12,25
43108.875,8,29
43108.9166666667,7,29
43108.9583333333,7,28
