"Date","NO2","O3"
43288,5,29
43288.0416666667,3,29
43288.0833333333,5,28
43288.125,5,26
43288.1666666667,7,23
43288.2083333333,8,23
43288.25,7,25
43288.2916666667,16,19
43288.3333333333,12,23
43288.375,12,26
43288.4166666667,9,32
43288.4583333333,7,35
43288.5,5,36
43288.5416666667,4,34
43288.5833333333,4,37
43288.625,5,35
43288.6666666667,7,31
43288.7083333333,8,34
43288.75,5,37
43288.7916666667,5,38
43288.8333333333,5,36
43288.875,8,33
43288.9166666667,8,33
43288.9583333333,8,30
43289,9,28
43289.0416666667,6,31
43289.0833333333,8,28
43289.125,-999,-999
43289.1666666667,11,18
43289.2083333333,10,21
43289.25,9,25
43289.2916666667,12,27
43289.3333333333,6,34
43289.375,9,35
43289.4166666667,8,42
43289.4583333333,8,49
43289.5,5,53
43289.5416666667,4,54
43289.5833333333,5,54
43289.625,5,50
43289.6666666667,5,52
43289.7083333333,6,46
43289.75,5,43
43289.7916666667,5,44
43289.8333333333,5,44
43289.875,8,41
43289.9166666667,12,34
43289.9583333333,13,31
43290,7,36
43290.0416666667,10,33
43290.0833333333,11,32
43290.125,9,32
43290.1666666667,13,29
43290.2083333333,17,28
43290.25,28,21
43290.2916666667,28,23
43290.3333333333,26,26
43290.375,19,37
43290.4166666667,16,50
43290.4583333333,14,61
43290.5,8,69
43290.5416666667,7,70
43290.5833333333,6,72
43290.625,6,74
43290.6666666667,6,72
43290.7083333333,7,72
43290.75,7,64
43290.7916666667,7,62
43290.8333333333,9,58
43290.875,9,57
43290.9166666667,8,58
43290.9583333333,10,55
43291,11,51
43291.0416666667,7,51
43291.0833333333,9,48
43291.125,6,49
43291.1666666667,7,45
43291.2083333333,10,37
43291.25,12,30
43291.2916666667,9,30
43291.3333333333,8,30
43291.375,7,34
43291.4166666667,5,37
43291.4583333333,4,38
43291.5,4,38
43291.5416666667,4,-999
43291.5833333333,4,35
43291.625,4,35
43291.6666666667,4,33
43291.7083333333,4,-999
43291.75,4,29
43291.7916666667,3,28
43291.8333333333,4,27
43291.875,5,26
43291.9166666667,4,25
43291.9583333333,3,24
43292,3,23
43292.0416666667,4,23
43292.0833333333,4,22
43292.125,6,20
43292.1666666667,10,16
43292.2083333333,12,15
43292.25,15,14
43292.2916666667,14,15
43292.3333333333,9,22
43292.375,9,26
43292.4166666667,10,25
43292.4583333333,8,29
43292.5,7,33
43292.5416666667,8,32
43292.5833333333,7,32
43292.625,7,34
43292.6666666667,6,35
43292.7083333333,8,37
43292.75,6,43
43292.7916666667,6,47
43292.8333333333,7,42
43292.875,14,27
43292.9166666667,6,24
43292.9583333333,4,26
43293,7,22
43293.0416666667,8,21
43293.0833333333,6,23
43293.125,9,19
43293.1666666667,17,10
43293.2083333333,19,9
43293.25,23,7
43293.2916666667,25,9
43293.3333333333,24,16
43293.375,24,20
43293.4166666667,27,24
43293.4583333333,16,38
43293.5,9,35
43293.5416666667,9,31
43293.5833333333,7,34
43293.625,7,45
43293.6666666667,6,33
43293.7083333333,6,30
43293.75,13,31
43293.7916666667,18,36
43293.8333333333,19,32
43293.875,11,28
43293.9166666667,9,31
43293.9583333333,10,28
43294,12,26
43294.0416666667,12,24
43294.0833333333,20,17
43294.125,25,12
43294.1666666667,13,21
43294.2083333333,12,21
43294.25,18,15
43294.2916666667,25,12
43294.3333333333,26,19
43294.375,12,42
43294.4166666667,12,46
43294.4583333333,7,48
43294.5,7,50
43294.5416666667,6,50
43294.5833333333,10,45
43294.625,13,42
43294.6666666667,8,45
43294.7083333333,8,42
43294.75,12,44
43294.7916666667,16,45
43294.8333333333,14,43
43294.875,13,43
43294.9166666667,11,45
43294.9583333333,9,43
