"Date","NO2","O3"
43280,12,33
43280.0416666667,15,27
43280.0833333333,12,30
43280.125,13,26
43280.1666666667,10,31
43280.2083333333,12,31
43280.25,20,25
43280.2916666667,25,25
43280.3333333333,17,36
43280.375,15,43
43280.4166666667,22,42
43280.4583333333,22,51
43280.5,15,65
43280.5416666667,9,71
43280.5833333333,8,69
43280.625,10,66
43280.6666666667,8,74
43280.7083333333,7,60
43280.75,6,56
43280.7916666667,6,55
43280.8333333333,7,54
43280.875,8,51
43280.9166666667,9,49
43280.9583333333,8,50
43281,6,50
43281.0416666667,6,49
43281.0833333333,7,48
43281.125,11,42
43281.1666666667,15,36
43281.2083333333,11,43
43281.25,14,37
43281.2916666667,16,38
43281.3333333333,9,45
43281.375,10,48
43281.4166666667,9,56
43281.4583333333,5,-999
43281.5,5,60
43281.5416666667,4,61
43281.5833333333,4,62
43281.625,4,62
43281.6666666667,4,63
43281.7083333333,4,59
43281.75,5,57
43281.7916666667,7,53
43281.8333333333,7,50
43281.875,7,47
43281.9166666667,11,41
43281.9583333333,6,50
43282,8,46
43282.0416666667,6,46
43282.0833333333,13,36
43282.125,-999,-999
43282.1666666667,7,46
43282.2083333333,7,46
43282.25,6,47
43282.2916666667,8,46
43282.3333333333,10,46
43282.375,8,51
43282.4166666667,8,59
43282.4583333333,6,66
43282.5,6,65
43282.5416666667,6,61
43282.5833333333,4,66
43282.625,4,61
43282.6666666667,4,65
43282.7083333333,4,61
43282.75,4,57
43282.7916666667,6,56
43282.8333333333,7,52
43282.875,7,49
43282.9166666667,7,48
43282.9583333333,5,52
43283,5,51
43283.0416666667,4,52
43283.0833333333,4,49
43283.125,6,42
43283.1666666667,7,36
43283.2083333333,7,35
43283.25,6,36
43283.2916666667,7,38
43283.3333333333,7,43
43283.375,5,51
43283.4166666667,5,58
43283.4583333333,5,61
43283.5,4,60
43283.5416666667,5,61
43283.5833333333,4,55
43283.625,4,48
43283.6666666667,6,49
43283.7083333333,9,43
43283.75,6,39
43283.7916666667,3,37
43283.8333333333,4,34
43283.875,4,33
43283.9166666667,4,33
43283.9583333333,5,31
43284,5,31
43284.0416666667,12,22
43284.0833333333,14,18
43284.125,12,19
43284.1666666667,12,18
43284.2083333333,18,12
43284.25,22,15
43284.2916666667,22,20
43284.3333333333,22,25
43284.375,17,34
43284.4166666667,12,42
43284.4583333333,9,49
43284.5,7,55
43284.5416666667,8,46
43284.5833333333,6,38
43284.625,9,34
43284.6666666667,10,33
43284.7083333333,9,35
43284.75,8,35
43284.7916666667,6,35
43284.8333333333,7,33
43284.875,8,32
43284.9166666667,8,32
43284.9583333333,9,30
43285,8,31
43285.0416666667,7,31
43285.0833333333,12,25
43285.125,16,21
43285.1666666667,14,24
43285.2083333333,20,19
43285.25,27,13
43285.2916666667,16,27
43285.3333333333,9,36
43285.375,7,40
43285.4166666667,5,45
43285.4583333333,7,46
43285.5,6,47
43285.5416666667,6,48
43285.5833333333,6,51
43285.625,7,50
43285.6666666667,14,39
43285.7083333333,8,42
43285.75,15,36
43285.7916666667,20,29
43285.8333333333,15,33
43285.875,11,38
43285.9166666667,22,25
43285.9583333333,24,19
43286,23,19
43286.0416666667,33,8
43286.0833333333,34,6
43286.125,33,6
43286.1666666667,35,3
43286.2083333333,38,4
43286.25,36,6
43286.2916666667,20,26
43286.3333333333,25,28
43286.375,15,42
43286.4166666667,18,-999
43286.4583333333,11,63
43286.5,6,63
43286.5416666667,10,55
43286.5833333333,7,53
43286.625,7,50
43286.6666666667,7,47
43286.7083333333,6,48
43286.75,8,44
43286.7916666667,5,41
43286.8333333333,7,40
43286.875,8,37
43286.9166666667,16,26
43286.9583333333,6,31
