"Date","NO2","O3"
43294,12,26
43294.0416666667,12,24
43294.0833333333,20,17
43294.125,25,12
43294.1666666667,13,21
43294.2083333333,12,21
43294.25,18,15
43294.2916666667,25,12
43294.3333333333,26,19
43294.375,12,42
43294.4166666667,12,46
43294.4583333333,7,48
43294.5,7,50
43294.5416666667,6,50
43294.5833333333,10,45
43294.625,13,42
43294.6666666667,8,45
43294.7083333333,8,42
43294.75,12,44
43294.7916666667,16,45
43294.8333333333,14,43
43294.875,13,43
43294.9166666667,11,45
43294.9583333333,9,43
43295,9,41
43295.0416666667,12,41
43295.0833333333,13,43
43295.125,8,52
43295.1666666667,11,46
43295.2083333333,13,44
43295.25,13,45
43295.2916666667,18,40
43295.3333333333,13,48
43295.375,14,48
43295.4166666667,16,53
43295.4583333333,15,56
43295.5,13,55
43295.5416666667,21,50
43295.5833333333,24,48
43295.625,16,59
43295.6666666667,8,62
43295.7083333333,9,57
43295.75,7,52
43295.7916666667,13,45
43295.8333333333,14,43
43295.875,12,45
43295.9166666667,13,40
43295.9583333333,13,37
43296,12,34
43296.0416666667,12,31
43296.0833333333,13,28
43296.125,-999,-999
43296.1666666667,25,11
43296.2083333333,18,16
43296.25,12,27
43296.2916666667,8,38
43296.3333333333,7,49
43296.375,7,53
43296.4166666667,9,56
43296.4583333333,6,57
43296.5,7,59
43296.5416666667,8,61
43296.5833333333,6,61
43296.625,8,61
43296.6666666667,10,60
43296.7083333333,8,58
43296.75,11,-999
43296.7916666667,15,50
43296.8333333333,20,44
43296.875,23,41
43296.9166666667,16,48
43296.9583333333,16,46
43297,13,48
43297.0416666667,7,50
43297.0833333333,5,52
43297.125,5,49
43297.1666666667,9,41
43297.2083333333,13,33
43297.25,28,19
43297.2916666667,24,30
43297.3333333333,20,39
43297.375,17,47
43297.4166666667,10,61
43297.4583333333,8,64
43297.5,8,62
43297.5416666667,10,55
43297.5833333333,7,57
43297.625,10,50
43297.6666666667,12,51
43297.7083333333,14,49
43297.75,8,50
43297.7916666667,14,41
43297.8333333333,12,48
43297.875,13,39
43297.9166666667,17,28
43297.9583333333,19,25
43298,10,33
43298.0416666667,11,29
43298.0833333333,13,23
43298.125,7,26
43298.1666666667,7,23
43298.2083333333,10,19
43298.25,14,17
43298.2916666667,12,21
43298.3333333333,8,24
43298.375,5,26
43298.4166666667,4,24
43298.4583333333,4,24
43298.5,2,25
43298.5416666667,3,25
43298.5833333333,3,25
43298.625,3,23
43298.6666666667,3,23
43298.7083333333,3,21
43298.75,3,20
43298.7916666667,3,17
43298.8333333333,4,14
43298.875,5,13
43298.9166666667,5,14
43298.9583333333,4,15
43299,4,14
43299.0416666667,4,14
43299.0833333333,4,15
43299.125,4,14
43299.1666666667,4,16
43299.2083333333,7,14
43299.25,9,13
43299.2916666667,9,17
43299.3333333333,7,22
43299.375,6,-999
43299.4166666667,6,27
43299.4583333333,5,29
43299.5,5,31
43299.5416666667,5,33
43299.5833333333,5,36
43299.625,5,39
43299.6666666667,9,40
43299.7083333333,8,47
43299.75,9,51
43299.7916666667,10,50
43299.8333333333,11,48
43299.875,12,44
43299.9166666667,9,30
43299.9583333333,7,30
43300,6,32
43300.0416666667,5,29
43300.0833333333,7,27
43300.125,7,25
43300.1666666667,12,19
43300.2083333333,16,15
43300.25,15,18
43300.2916666667,17,18
43300.3333333333,11,29
43300.375,23,22
43300.4166666667,18,30
43300.4583333333,15,35
43300.5,13,42
43300.5416666667,10,50
43300.5833333333,8,58
43300.625,10,58
43300.6666666667,14,54
43300.7083333333,11,62
43300.75,14,59
43300.7916666667,14,60
43300.8333333333,13,65
43300.875,10,60
43300.9166666667,8,52
43300.9583333333,9,48
