"Date","NO2","O3"
43283,5,51
43283.0416666667,4,52
43283.0833333333,4,49
43283.125,6,42
43283.1666666667,7,36
43283.2083333333,7,35
43283.25,6,36
43283.2916666667,7,38
43283.3333333333,7,43
43283.375,5,-999
43283.4166666667,5,58
43283.4583333333,5,61
43283.5,4,60
43283.5416666667,5,61
43283.5833333333,4,55
43283.625,4,48
43283.6666666667,6,49
43283.7083333333,9,43
43283.75,6,39
43283.7916666667,3,37
43283.8333333333,4,34
43283.875,4,33
43283.9166666667,4,33
43283.9583333333,5,31
43284,5,31
43284.0416666667,12,22
43284.0833333333,14,18
43284.125,12,19
43284.1666666667,12,18
43284.2083333333,18,12
43284.25,22,15
43284.2916666667,22,20
43284.3333333333,22,25
43284.375,17,34
43284.4166666667,12,42
43284.4583333333,9,49
43284.5,7,55
43284.5416666667,8,-999
43284.5833333333,6,38
43284.625,9,34
43284.6666666667,10,33
43284.7083333333,9,35
43284.75,8,35
43284.7916666667,6,35
43284.8333333333,7,33
43284.875,8,32
43284.9166666667,8,32
43284.9583333333,9,30
43285,8,31
43285.0416666667,7,31
43285.0833333333,12,25
43285.125,16,21
43285.1666666667,14,24
43285.2083333333,20,19
43285.25,27,13
43285.2916666667,16,27
43285.3333333333,9,36
43285.375,7,40
43285.4166666667,5,45
43285.4583333333,7,46
43285.5,6,47
43285.5416666667,6,48
43285.5833333333,6,51
43285.625,7,50
43285.6666666667,14,39
43285.7083333333,8,42
43285.75,15,36
43285.7916666667,20,29
43285.8333333333,15,33
43285.875,11,38
43285.9166666667,22,25
43285.9583333333,24,19
43286,23,19
43286.0416666667,33,8
43286.0833333333,34,6
43286.125,33,6
43286.1666666667,35,3
43286.2083333333,38,4
43286.25,36,6
43286.2916666667,20,26
43286.3333333333,25,28
43286.375,15,42
43286.4166666667,18,46
43286.4583333333,11,63
43286.5,6,63
43286.5416666667,10,55
43286.5833333333,7,53
43286.625,7,50
43286.6666666667,7,47
43286.7083333333,6,48
43286.75,8,44
43286.7916666667,5,41
43286.8333333333,7,40
43286.875,8,37
43286.9166666667,16,26
43286.9583333333,6,31
43287,4,35
43287.0416666667,2,37
43287.0833333333,2,33
43287.125,3,29
43287.1666666667,4,26
43287.2083333333,6,24
43287.25,9,23
43287.2916666667,6,27
43287.3333333333,4,28
43287.375,4,30
43287.4166666667,4,32
43287.4583333333,4,33
43287.5,4,34
43287.5416666667,4,34
43287.5833333333,3,34
43287.625,3,34
43287.6666666667,3,34
43287.7083333333,3,33
43287.75,3,33
43287.7916666667,3,33
43287.8333333333,5,31
43287.875,6,29
43287.9166666667,5,30
43287.9583333333,6,27
43288,5,29
43288.0416666667,3,29
43288.0833333333,5,28
43288.125,5,26
43288.1666666667,7,23
43288.2083333333,8,23
43288.25,7,25
43288.2916666667,16,19
43288.3333333333,12,23
43288.375,12,26
43288.4166666667,9,32
43288.4583333333,7,35
43288.5,5,36
43288.5416666667,4,34
43288.5833333333,4,37
43288.625,5,35
43288.6666666667,7,31
43288.7083333333,8,34
43288.75,5,37
43288.7916666667,5,38
43288.8333333333,5,36
43288.875,8,33
43288.9166666667,8,33
43288.9583333333,8,30
43289,9,28
43289.0416666667,6,31
43289.0833333333,8,28
43289.125,-999,-999
43289.1666666667,11,18
43289.2083333333,10,21
43289.25,9,25
43289.2916666667,12,27
43289.3333333333,6,34
43289.375,9,35
43289.4166666667,8,42
43289.4583333333,8,49
43289.5,5,53
43289.5416666667,4,54
43289.5833333333,5,54
43289.625,5,50
43289.6666666667,5,52
43289.7083333333,6,46
43289.75,5,43
43289.7916666667,5,44
43289.8333333333,5,44
43289.875,8,41
43289.9166666667,12,34
43289.9583333333,13,31
