"Date","NO2","O3"
43101,32,12
43101.0416666667,41,6
43101.0833333333,46,1
43101.125,40,4
43101.1666666667,31,12
43101.2083333333,41,5
43101.25,41,6
43101.2916666667,35,9
43101.3333333333,31,12
43101.375,20,20
43101.4166666667,8,31
43101.4583333333,7,32
43101.5,8,32
43101.5416666667,10,31
43101.5833333333,7,33
43101.625,5,32
43101.6666666667,5,33
43101.7083333333,7,31
43101.75,9,30
43101.7916666667,10,30
43101.8333333333,10,30
43101.875,18,23
43101.9166666667,23,18
43101.9583333333,37,6
43102,41,2
43102.0416666667,28,14
43102.0833333333,20,20
43102.125,18,20
43102.1666666667,19,19
43102.2083333333,18,21
43102.25,10,28
43102.2916666667,12,26
43102.3333333333,20,20
43102.375,19,21
43102.4166666667,18,21
43102.4583333333,19,20
43102.5,18,21
43102.5416666667,17,23
43102.5833333333,19,21
43102.625,18,23
43102.6666666667,17,23
43102.7083333333,16,22
43102.75,20,19
43102.7916666667,17,21
43102.8333333333,16,22
43102.875,17,21
43102.9166666667,15,22
43102.9583333333,20,18
43103,16,22
43103.0416666667,14,27
43103.0833333333,16,24
43103.125,16,25
43103.1666666667,16,25
43103.2083333333,16,25
43103.25,12,30
43103.2916666667,16,28
43103.3333333333,22,21
43103.375,15,24
43103.4166666667,14,25
43103.4583333333,15,25
43103.5,15,-999
43103.5416666667,18,21
43103.5833333333,15,24
43103.625,13,26
43103.6666666667,14,26
43103.7083333333,16,22
43103.75,19,19
43103.7916666667,18,19
43103.8333333333,17,18
43103.875,19,15
43103.9166666667,21,13
43103.9583333333,21,12
43104,21,12
43104.0416666667,23,9
43104.0833333333,26,6
43104.125,26,7
43104.1666666667,26,8
43104.2083333333,33,4
43104.25,18,17
43104.2916666667,20,-999
43104.3333333333,18,17
43104.375,12,23
43104.4166666667,11,26
43104.4583333333,8,29
43104.5,8,29
43104.5416666667,8,29
43104.5833333333,7,29
43104.625,8,27
43104.6666666667,8,26
43104.7083333333,9,26
43104.75,10,25
43104.7916666667,10,26
43104.8333333333,10,27
43104.875,9,28
43104.9166666667,9,28
43104.9583333333,10,27
43105,10,27
43105.0416666667,13,24
43105.0833333333,12,24
43105.125,10,25
43105.1666666667,14,22
43105.2083333333,14,22
43105.25,15,21
43105.2916666667,16,20
43105.3333333333,16,19
43105.375,13,22
43105.4166666667,9,26
43105.4583333333,6,28
43105.5,7,28
43105.5416666667,6,29
43105.5833333333,6,29
43105.625,7,28
43105.6666666667,9,26
43105.7083333333,11,24
43105.75,12,23
43105.7916666667,12,24
43105.8333333333,17,21
43105.875,21,17
43105.9166666667,17,20
43105.9583333333,12,24
43106,11,25
43106.0416666667,14,22
43106.0833333333,12,23
43106.125,10,24
43106.1666666667,11,24
43106.2083333333,13,22
43106.25,14,21
43106.2916666667,14,22
43106.3333333333,19,17
43106.375,14,22
43106.4166666667,8,27
43106.4583333333,6,29
43106.5,5,30
43106.5416666667,5,30
43106.5833333333,5,31
43106.625,7,29
43106.6666666667,8,29
43106.7083333333,16,23
43106.75,24,16
43106.7916666667,25,16
43106.8333333333,14,25
43106.875,19,21
43106.9166666667,24,17
43106.9583333333,32,11
43107,37,7
43107.0416666667,38,7
43107.0833333333,42,3
43107.125,-999,-999
43107.1666666667,41,2
43107.2083333333,41,4
43107.25,20,19
43107.2916666667,22,18
43107.3333333333,16,23
43107.375,11,26
43107.4166666667,11,27
43107.4583333333,9,30
43107.5,8,31
43107.5416666667,7,32
43107.5833333333,7,33
43107.625,10,30
43107.6666666667,10,30
43107.7083333333,12,29
43107.75,12,28
43107.7916666667,15,25
43107.8333333333,13,27
43107.875,15,25
43107.9166666667,14,26
43107.9583333333,15,25
