"Date","NO2","O3"
43108,17,23
43108.0416666667,10,28
43108.0833333333,10,27
43108.125,9,27
43108.1666666667,9,27
43108.2083333333,9,27
43108.25,9,26
43108.2916666667,11,24
43108.3333333333,11,24
43108.375,13,22
43108.4166666667,19,18
43108.4583333333,17,19
43108.5,14,21
43108.5416666667,21,14
43108.5833333333,17,15
43108.625,20,13
43108.6666666667,16,17
43108.7083333333,20,14
43108.75,22,13
43108.7916666667,13,22
43108.8333333333,13,23
43108.875,11,25
43108.9166666667,10,26
43108.9583333333,10,25
43109,12,24
43109.0416666667,14,24
43109.0833333333,16,21
43109.125,11,25
43109.1666666667,9,25
43109.2083333333,9,24
43109.25,12,20
43109.2916666667,19,15
43109.3333333333,21,14
43109.375,17,17
43109.4166666667,14,19
43109.4583333333,14,19
43109.5,16,17
43109.5416666667,16,16
43109.5833333333,14,18
43109.625,16,16
43109.6666666667,17,16
43109.7083333333,17,15
43109.75,16,16
43109.7916666667,11,20
43109.8333333333,15,16
43109.875,11,20
43109.9166666667,12,20
43109.9583333333,8,23
43110,9,22
43110.0416666667,10,22
43110.0833333333,8,25
43110.125,7,26
43110.1666666667,9,24
43110.2083333333,15,20
43110.25,20,17
43110.2916666667,27,11
43110.3333333333,26,14
43110.375,21,17
43110.4166666667,22,17
43110.4583333333,22,17
43110.5,19,21
43110.5416666667,19,20
43110.5833333333,22,17
43110.625,26,15
43110.6666666667,24,16
43110.7083333333,22,17
43110.75,24,16
43110.7916666667,29,11
43110.8333333333,26,12
43110.875,19,17
43110.9166666667,18,17
43110.9583333333,31,7
43111,17,17
43111.0416666667,10,24
43111.0833333333,7,27
43111.125,6,28
43111.1666666667,6,27
43111.2083333333,8,26
43111.25,10,23
43111.2916666667,12,22
43111.3333333333,17,19
43111.375,15,21
43111.4166666667,13,24
43111.4583333333,13,24
43111.5,11,26
43111.5416666667,11,26
43111.5833333333,13,26
43111.625,14,26
43111.6666666667,12,27
43111.7083333333,10,27
43111.75,9,27
43111.7916666667,14,22
43111.8333333333,10,25
43111.875,8,26
43111.9166666667,6,27
43111.9583333333,5,28
43112,5,29
43112.0416666667,5,28
43112.0833333333,4,27
43112.125,3,28
43112.1666666667,4,-999
43112.2083333333,5,25
43112.25,8,21
43112.2916666667,17,11
43112.3333333333,20,6
43112.375,10,10
43112.4166666667,8,13
43112.4583333333,8,17
43112.5,9,20
43112.5416666667,9,21
43112.5833333333,6,25
43112.625,7,27
43112.6666666667,8,28
43112.7083333333,7,28
43112.75,8,29
43112.7916666667,7,31
43112.8333333333,10,30
43112.875,11,30
43112.9166666667,9,32
43112.9583333333,9,31
43113,8,32
43113.0416666667,8,32
43113.0833333333,6,33
43113.125,6,33
43113.1666666667,6,33
43113.2083333333,6,33
43113.25,7,32
43113.2916666667,8,30
43113.3333333333,8,29
43113.375,7,30
43113.4166666667,6,31
43113.4583333333,6,32
43113.5,5,32
43113.5416666667,5,32
43113.5833333333,4,34
43113.625,5,33
43113.6666666667,6,33
43113.7083333333,8,31
43113.75,8,30
43113.7916666667,10,29
43113.8333333333,10,29
43113.875,12,27
43113.9166666667,15,-999
43113.9583333333,13,25
43114,17,22
43114.0416666667,21,19
43114.0833333333,29,11
43114.125,-999,-999
43114.1666666667,36,5
43114.2083333333,28,11
43114.25,25,14
43114.2916666667,36,7
43114.3333333333,47,2
43114.375,42,5
43114.4166666667,17,23
43114.4583333333,7,30
43114.5,12,27
43114.5416666667,9,29
43114.5833333333,5,33
43114.625,5,33
43114.6666666667,9,30
43114.7083333333,9,30
43114.75,7,32
43114.7916666667,11,29
43114.8333333333,13,28
43114.875,15,25
43114.9166666667,13,27
43114.9583333333,10,29
