"Date","NO2","O3"
43291,11,51
43291.0416666667,7,51
43291.0833333333,9,48
43291.125,6,49
43291.1666666667,7,45
43291.2083333333,10,37
43291.25,12,30
43291.2916666667,9,30
43291.3333333333,8,30
43291.375,7,34
43291.4166666667,5,37
43291.4583333333,4,38
43291.5,4,38
43291.5416666667,4,36
43291.5833333333,4,35
43291.625,4,35
43291.6666666667,4,33
43291.7083333333,4,32
43291.75,4,29
43291.7916666667,3,28
43291.8333333333,4,27
43291.875,5,26
43291.9166666667,4,25
43291.9583333333,3,24
43292,3,23
43292.0416666667,4,23
43292.0833333333,4,22
43292.125,6,20
43292.1666666667,10,-999
43292.2083333333,12,15
43292.25,15,14
43292.2916666667,14,15
43292.3333333333,9,22
43292.375,9,26
43292.4166666667,10,25
43292.4583333333,8,29
43292.5,7,33
43292.5416666667,8,32
43292.5833333333,7,32
43292.625,7,34
43292.6666666667,6,35
43292.7083333333,8,37
43292.75,6,43
43292.7916666667,6,47
43292.8333333333,7,42
43292.875,14,27
43292.9166666667,6,24
43292.9583333333,4,26
43293,7,22
43293.0416666667,8,21
43293.0833333333,6,23
43293.125,9,19
43293.1666666667,17,10
43293.2083333333,19,9
43293.25,23,7
43293.2916666667,25,9
43293.3333333333,24,16
43293.375,24,20
43293.4166666667,27,24
43293.4583333333,16,38
43293.5,9,35
43293.5416666667,9,31
43293.5833333333,7,34
43293.625,7,45
43293.6666666667,6,33
43293.7083333333,6,30
43293.75,13,31
43293.7916666667,18,36
43293.8333333333,19,32
43293.875,11,28
43293.9166666667,9,31
43293.9583333333,10,28
43294,12,26
43294.0416666667,12,24
43294.0833333333,20,17
43294.125,25,12
43294.1666666667,13,21
43294.2083333333,12,21
43294.25,18,15
43294.2916666667,25,-999
43294.3333333333,26,19
43294.375,12,42
43294.4166666667,12,46
43294.4583333333,7,48
43294.5,7,50
43294.5416666667,6,50
43294.5833333333,10,45
43294.625,13,42
43294.6666666667,8,45
43294.7083333333,8,42
43294.75,12,44
43294.7916666667,16,45
43294.8333333333,14,43
43294.875,13,43
43294.9166666667,11,45
43294.9583333333,9,43
43295,9,41
43295.0416666667,12,41
43295.0833333333,13,43
43295.125,8,52
43295.1666666667,11,46
43295.2083333333,13,44
43295.25,13,45
43295.2916666667,18,40
43295.3333333333,13,48
43295.375,14,48
43295.4166666667,16,53
43295.4583333333,15,56
43295.5,13,55
43295.5416666667,21,50
43295.5833333333,24,48
43295.625,16,59
43295.6666666667,8,62
43295.7083333333,9,57
43295.75,7,52
43295.7916666667,13,45
43295.8333333333,14,43
43295.875,12,45
43295.9166666667,13,40
43295.9583333333,13,37
43296,12,34
43296.0416666667,12,31
43296.0833333333,13,28
43296.125,-999,-999
43296.1666666667,25,11
43296.2083333333,18,16
43296.25,12,27
43296.2916666667,8,38
43296.3333333333,7,49
43296.375,7,53
43296.4166666667,9,56
43296.4583333333,6,57
43296.5,7,59
43296.5416666667,8,61
43296.5833333333,6,61
43296.625,8,61
43296.6666666667,10,60
43296.7083333333,8,58
43296.75,11,54
43296.7916666667,15,50
43296.8333333333,20,44
43296.875,23,41
43296.9166666667,16,48
43296.9583333333,16,46
43297,13,48
43297.0416666667,7,50
43297.0833333333,5,52
43297.125,5,49
43297.1666666667,9,41
43297.2083333333,13,33
43297.25,28,19
43297.2916666667,24,30
43297.3333333333,20,39
43297.375,17,47
43297.4166666667,10,61
43297.4583333333,8,64
43297.5,8,62
43297.5416666667,10,55
43297.5833333333,7,57
43297.625,10,50
43297.6666666667,12,51
43297.7083333333,14,49
43297.75,8,50
43297.7916666667,14,41
43297.8333333333,12,48
43297.875,13,39
43297.9166666667,17,28
43297.9583333333,19,25
