"Date","temperature","NO2","O3"
43314.0416666667,20.5,7,31
43314.0833333333,19.8,8,26
43314.125,19.5,7,24
43314.1666666667,19.5,8,23
43314.2083333333,18.5,17,16
43314.25,19,18,17
43314.2916666667,20.3,19,18
43314.3333333333,22,16,22
43314.375,24,14,28
43314.4166666667,26.2,14,30
43314.4583333333,27.1,10,43
43314.5,28.8,6,50
43314.5416666667,28.3,4,51
43314.5833333333,28.9,4,53
43314.625,29.6,4,53
43314.6666666667,27.7,4,51
43314.7083333333,27.2,5,50
43314.75,26.9,6,50
43314.7916666667,25.7,8,47
43314.8333333333,24.5,13,39
43314.875,23.9,12,37
43314.9166666667,23.9,12,34
43314.9583333333,20.9,15,26
43315,21.7,17,21
43315.0416666667,22.4,14,21
43315.0833333333,21.1,11,21
43315.125,20.7,11,20
43315.1666666667,20.5,13,16
43315.2083333333,20.8,20,9
43315.25,20.5,26,5
43315.2916666667,22.4,27,9
43315.3333333333,23.2,13,31
43315.375,24.6,6,43
43315.4166666667,25.6,5,46
43315.4583333333,26,4,46
43315.5,27.4,3,48
43315.5416666667,27.5,3,52
43315.5833333333,28.5,3,54
43315.625,28.4,3,54
43315.6666666667,27.3,2,49
43315.7083333333,26.9,2,48
43315.75,25.2,2,48
43315.7916666667,24.5,4,45
43315.8333333333,23.5,5,43
43315.875,23.1,4,42
43315.9166666667,22.6,7,36
43315.9583333333,22.3,7,31
43316,22.3,-999,-999
43316.0416666667,21.6,7,24
43316.0833333333,20.4,6,26
43316.125,20.1,7,21
43316.1666666667,20.2,9,13
43316.2083333333,19.6,16,7
43316.25,19.9,16,6
43316.2916666667,21.7,12,17
43316.3333333333,23.6,10,27
43316.375,25.9,10,34
43316.4166666667,27.2,7,47
43316.4583333333,27.2,5,54
43316.5,28.2,5,64
43316.5416666667,28.6,5,70
43316.5833333333,28.7,6,64
43316.625,31.5,4,64
43316.6666666667,31.1,5,64
43316.7083333333,30.7,6,64
43316.75,30.1,6,59
43316.7916666667,28.4,7,55
43316.8333333333,26.9,10,49
43316.875,26.3,12,41
43316.9166666667,25.2,15,31
43316.9583333333,22.3,19,23
43317,22,20,19
43317.0416666667,21.7,23,13
43317.0833333333,21.8,20,14
43317.125,20.1,-999,-999
43317.1666666667,19.6,14,23
43317.2083333333,19.4,14,25
43317.25,20,11,30
43317.2916666667,22.7,11,-999
43317.3333333333,25.6,8,46
43317.375,28.1,7,54
43317.4166666667,30,8,-999
43317.4583333333,30.4,8,58
43317.5,30.5,6,61
43317.5416666667,31.5,5,59
43317.5833333333,33.8,4,55
43317.625,34.3,4,56
43317.6666666667,34.2,4,58
43317.7083333333,33.1,4,55
43317.75,32,4,53
43317.7916666667,30.6,7,48
43317.8333333333,29,8,46
43317.875,27.9,9,43
43317.9166666667,26.9,8,43
43317.9583333333,22.7,9,42
43318,26,6,46
43318.0416666667,25.5,5,46
43318.0833333333,25,4,45
43318.125,24.3,4,42
43318.1666666667,24.3,6,38
43318.2083333333,24.1,7,33
43318.25,24.2,7,32
43318.2916666667,25.9,9,29
43318.3333333333,27.8,7,35
43318.375,29.8,6,43
43318.4166666667,31.2,5,47
43318.4583333333,33,5,54
43318.5,32.9,4,55
43318.5416666667,32.3,5,57
43318.5833333333,24.6,4,46
43318.625,22.5,6,38
43318.6666666667,25,7,38
43318.7083333333,26.7,8,36
43318.75,26.1,11,34
43318.7916666667,24.8,11,33
43318.8333333333,24.6,13,30
43318.875,24.7,15,22
43318.9166666667,24.6,14,17
43318.9583333333,26.1,10,26
43319,22.3,4,36
43319.0416666667,22,5,33
43319.0833333333,21.8,6,27
43319.125,21.6,5,29
43319.1666666667,21.4,8,24
43319.2083333333,21.4,15,16
43319.25,21.6,18,17
43319.2916666667,21.9,13,23
43319.3333333333,22.9,10,28
43319.375,23.5,9,32
43319.4166666667,24.8,10,35
43319.4583333333,25.4,11,38
43319.5,26.6,11,45
43319.5416666667,26.4,6,55
43319.5833333333,27.5,4,56
43319.625,26.8,4,57
43319.6666666667,27.3,3,60
43319.7083333333,26.6,4,59
43319.75,26.2,7,52
43319.7916666667,25.1,8,43
43319.8333333333,23.5,10,40
43319.875,21.1,8,36
43319.9166666667,20.8,6,42
43319.9583333333,22.7,6,37
43320,21.4,9,29
43320.0416666667,21.1,11,20
43320.0833333333,21.7,10,18
43320.125,21.3,7,23
43320.1666666667,21.7,8,23
43320.2083333333,21.8,16,15
43320.25,22.1,23,7
43320.2916666667,21.7,20,8
43320.3333333333,22.3,13,19
43320.375,22.1,5,40
43320.4166666667,22.7,8,34
43320.4583333333,23.6,4,36
43320.5,24.6,4,42
43320.5416666667,24,4,46
43320.5833333333,22.6,9,39
43320.625,23.4,4,45
43320.6666666667,24.1,6,45
43320.7083333333,25.2,9,44
43320.75,24,10,38
43320.7916666667,22,10,33
43320.8333333333,22.4,10,26
43320.875,22.3,10,24
43320.9166666667,21.7,9,23
43320.9583333333,20.9,7,22
43321,19.9,7,19
