"Date","NO2","O3"
43110,21,14
43110.0416666667,24,11
43110.0833333333,31,6
43110.125,38,1
43110.1666666667,17,18
43110.2083333333,14,21
43110.25,27,11
43110.2916666667,33,8
43110.3333333333,29,11
43110.375,23,16
43110.4166666667,19,19
43110.4583333333,18,20
43110.5,19,20
43110.5416666667,20,18
43110.5833333333,25,15
43110.625,21,18
43110.6666666667,19,-999
43110.7083333333,34,8
43110.75,31,10
43110.7916666667,24,15
43110.8333333333,19,18
43110.875,28,11
43110.9166666667,25,12
43110.9583333333,44,0
43111,42,0
43111.0416666667,39,3
43111.0833333333,22,14
43111.125,33,7
43111.1666666667,18,17
43111.2083333333,18,16
43111.25,33,5
43111.2916666667,36,3
43111.3333333333,33,6
43111.375,35,6
43111.4166666667,28,13
43111.4583333333,22,18
43111.5,21,19
43111.5416666667,26,16
43111.5833333333,36,8
43111.625,37,7
43111.6666666667,26,14
43111.7083333333,21,18
43111.75,15,22
43111.7916666667,14,22
43111.8333333333,15,20
43111.875,13,21
43111.9166666667,10,24
43111.9583333333,8,26
43112,7,26
43112.0416666667,8,25
43112.0833333333,8,24
43112.125,9,22
43112.1666666667,15,17
43112.2083333333,26,7
43112.25,29,4
43112.2916666667,32,2
43112.3333333333,25,5
43112.375,13,7
43112.4166666667,13,8
43112.4583333333,14,13
43112.5,13,16
43112.5416666667,14,19
43112.5833333333,15,21
43112.625,12,24
43112.6666666667,14,24
43112.7083333333,13,26
43112.75,9,30
43112.7916666667,7,33
43112.8333333333,6,35
43112.875,7,34
43112.9166666667,8,33
43112.9583333333,9,32
43113,7,33
43113.0416666667,6,33
43113.0833333333,6,33
43113.125,5,34
43113.1666666667,5,34
43113.2083333333,6,34
43113.25,5,33
43113.2916666667,8,31
43113.3333333333,9,30
43113.375,8,29
43113.4166666667,7,30
43113.4583333333,7,30
43113.5,7,31
43113.5416666667,6,32
43113.5833333333,7,32
43113.625,7,31
43113.6666666667,12,28
43113.7083333333,15,26
43113.75,13,27
43113.7916666667,16,25
43113.8333333333,16,25
43113.875,17,24
43113.9166666667,22,19
43113.9583333333,21,20
43114,37,6
43114.0416666667,32,9
43114.0833333333,23,16
43114.125,26,13
43114.1666666667,23,15
43114.2083333333,39,3
43114.25,43,1
43114.2916666667,45,1
43114.3333333333,39,5
43114.375,31,11
43114.4166666667,14,23
43114.4583333333,14,23
43114.5,10,26
43114.5416666667,8,29
43114.5833333333,8,30
43114.625,9,29
43114.6666666667,11,28
43114.7083333333,13,27
43114.75,6,33
43114.7916666667,6,33
43114.8333333333,5,33
43114.875,6,33
43114.9166666667,5,33
43114.9583333333,7,32
43115,5,32
43115.0416666667,6,33
43115.0833333333,4,35
43115.125,5,34
43115.1666666667,7,32
43115.2083333333,7,33
43115.25,6,34
43115.2916666667,7,33
43115.3333333333,8,32
43115.375,8,32
43115.4166666667,7,32
43115.4583333333,9,31
43115.5,12,28
43115.5416666667,14,26
43115.5833333333,15,25
43115.625,24,19
43115.6666666667,19,23
43115.7083333333,10,29
43115.75,9,29
43115.7916666667,9,30
43115.8333333333,7,-999
43115.875,8,29
43115.9166666667,28,11
43115.9583333333,37,3
43116,34,6
43116.0416666667,34,6
43116.0833333333,34,4
43116.125,36,2
43116.1666666667,36,2
43116.2083333333,37,1
43116.25,44,1
43116.2916666667,44,1
43116.3333333333,45,2
43116.375,47,3
43116.4166666667,34,7
43116.4583333333,22,13
43116.5,15,18
43116.5416666667,19,18
43116.5833333333,19,20
43116.625,18,20
43116.6666666667,21,16
43116.7083333333,33,6
43116.75,25,12
43116.7916666667,19,16
43116.8333333333,15,18
43116.875,11,19
43116.9166666667,15,15
43116.9583333333,21,12
