"Date","NO2","O3"
43114,37,6
43114.0416666667,32,9
43114.0833333333,23,16
43114.125,26,13
43114.1666666667,23,15
43114.2083333333,39,3
43114.25,43,1
43114.2916666667,45,1
43114.3333333333,39,5
43114.375,31,11
43114.4166666667,14,23
43114.4583333333,14,23
43114.5,10,26
43114.5416666667,8,29
43114.5833333333,8,30
43114.625,9,29
43114.6666666667,11,28
43114.7083333333,13,27
43114.75,6,33
43114.7916666667,6,33
43114.8333333333,5,33
43114.875,6,33
43114.9166666667,5,33
43114.9583333333,7,32
43115,5,32
43115.0416666667,6,33
43115.0833333333,4,35
43115.125,5,34
43115.1666666667,7,32
43115.2083333333,7,-999
43115.25,6,34
43115.2916666667,7,33
43115.3333333333,8,32
43115.375,8,32
43115.4166666667,7,32
43115.4583333333,9,31
43115.5,12,28
43115.5416666667,14,26
43115.5833333333,15,25
43115.625,24,19
43115.6666666667,19,23
43115.7083333333,10,29
43115.75,9,29
43115.7916666667,9,30
43115.8333333333,7,31
43115.875,8,29
43115.9166666667,28,11
43115.9583333333,37,3
43116,34,6
43116.0416666667,34,-999
43116.0833333333,34,4
43116.125,36,2
43116.1666666667,36,2
43116.2083333333,37,1
43116.25,44,1
43116.2916666667,44,1
43116.3333333333,45,2
43116.375,47,3
43116.4166666667,34,7
43116.4583333333,22,13
43116.5,15,18
43116.5416666667,19,18
43116.5833333333,19,20
43116.625,18,20
43116.6666666667,21,16
43116.7083333333,33,6
43116.75,25,12
43116.7916666667,19,16
43116.8333333333,15,18
43116.875,11,19
43116.9166666667,15,15
43116.9583333333,21,12
43117,18,12
43117.0416666667,15,15
43117.0833333333,21,10
43117.125,22,8
43117.1666666667,21,7
43117.2083333333,24,5
43117.25,28,2
43117.2916666667,33,1
43117.3333333333,32,2
43117.375,28,8
43117.4166666667,22,16
43117.4583333333,15,25
43117.5,12,28
43117.5416666667,14,27
43117.5833333333,12,29
43117.625,15,27
43117.6666666667,18,23
43117.7083333333,17,23
43117.75,24,17
43117.7916666667,17,21
43117.8333333333,13,23
43117.875,14,23
43117.9166666667,14,21
43117.9583333333,13,22
43118,16,20
43118.0416666667,17,18
43118.0833333333,15,21
43118.125,13,23
43118.1666666667,13,23
43118.2083333333,13,22
43118.25,15,21
43118.2916666667,17,19
43118.3333333333,16,19
43118.375,16,18
43118.4166666667,15,19
43118.4583333333,14,20
43118.5,15,20
43118.5416666667,15,20
43118.5833333333,16,20
43118.625,16,20
43118.6666666667,15,20
43118.7083333333,14,21
43118.75,17,19
43118.7916666667,15,22
43118.8333333333,17,21
43118.875,15,22
43118.9166666667,23,17
43118.9583333333,23,16
43119,22,17
43119.0416666667,20,19
43119.0833333333,18,20
43119.125,16,20
43119.1666666667,14,21
43119.2083333333,14,21
43119.25,17,18
43119.2916666667,18,17
43119.3333333333,19,17
43119.375,17,20
43119.4166666667,14,23
43119.4583333333,13,25
43119.5,13,27
43119.5416666667,13,29
43119.5833333333,16,28
43119.625,16,28
43119.6666666667,16,28
43119.7083333333,16,28
43119.75,18,27
43119.7916666667,15,30
43119.8333333333,13,33
43119.875,12,34
43119.9166666667,12,33
43119.9583333333,11,33
43120,10,34
43120.0416666667,10,33
43120.0833333333,10,32
43120.125,9,31
43120.1666666667,11,28
43120.2083333333,13,26
43120.25,12,27
43120.2916666667,12,26
43120.3333333333,13,24
43120.375,13,24
43120.4166666667,12,24
43120.4583333333,12,25
43120.5,12,26
43120.5416666667,12,27
43120.5833333333,11,29
43120.625,10,30
43120.6666666667,15,26
43120.7083333333,21,20
43120.75,27,15
43120.7916666667,37,5
43120.8333333333,32,8
43120.875,27,11
43120.9166666667,31,7
43120.9583333333,36,3
