"Date","NO2","O3"
43284,12,26
43284.0416666667,16,20
43284.0833333333,32,3
43284.125,31,3
43284.1666666667,32,1
43284.2083333333,34,3
43284.25,32,9
43284.2916666667,25,19
43284.3333333333,20,26
43284.375,10,40
43284.4166666667,6,45
43284.4583333333,5,49
43284.5,4,52
43284.5416666667,7,45
43284.5833333333,5,40
43284.625,3,37
43284.6666666667,3,35
43284.7083333333,3,37
43284.75,3,37
43284.7916666667,10,30
43284.8333333333,19,24
43284.875,22,19
43284.9166666667,33,10
43284.9583333333,42,4
43285,30,10
43285.0416666667,30,8
43285.0833333333,19,15
43285.125,30,4
43285.1666666667,30,6
43285.2083333333,34,4
43285.25,30,8
43285.2916666667,25,17
43285.3333333333,22,25
43285.375,18,31
43285.4166666667,11,38
43285.4583333333,10,42
43285.5,14,38
43285.5416666667,17,35
43285.5833333333,21,34
43285.625,8,42
43285.6666666667,4,41
43285.7083333333,5,40
43285.75,3,42
43285.7916666667,5,-999
43285.8333333333,7,37
43285.875,11,34
43285.9166666667,16,30
43285.9583333333,27,19
43286,27,-999
43286.0416666667,24,17
43286.0833333333,32,8
43286.125,34,4
43286.1666666667,24,14
43286.2083333333,20,21
43286.25,16,26
43286.2916666667,20,25
43286.3333333333,16,31
43286.375,9,40
43286.4166666667,16,38
43286.4583333333,8,53
43286.5,7,50
43286.5416666667,7,49
43286.5833333333,6,45
43286.625,8,43
43286.6666666667,12,37
43286.7083333333,12,38
43286.75,10,41
43286.7916666667,9,36
43286.8333333333,7,35
43286.875,9,29
43286.9166666667,15,21
43286.9583333333,13,23
43287,11,32
43287.0416666667,11,29
43287.0833333333,7,28
43287.125,10,23
43287.1666666667,16,17
43287.2083333333,15,17
43287.25,16,17
43287.2916666667,12,23
43287.3333333333,8,25
43287.375,11,24
43287.4166666667,11,27
43287.4583333333,11,28
43287.5,11,28
43287.5416666667,10,29
43287.5833333333,13,29
43287.625,9,31
43287.6666666667,7,31
43287.7083333333,12,31
43287.75,6,31
43287.7916666667,6,32
43287.8333333333,8,30
43287.875,9,27
43287.9166666667,12,23
43287.9583333333,20,12
43288,10,21
43288.0416666667,9,22
43288.0833333333,7,23
43288.125,15,15
43288.1666666667,14,16
43288.2083333333,18,13
43288.25,17,14
43288.2916666667,15,18
43288.3333333333,13,23
43288.375,8,28
43288.4166666667,8,31
43288.4583333333,5,32
43288.5,3,33
43288.5416666667,3,30
43288.5833333333,3,32
43288.625,3,30
43288.6666666667,2,31
43288.7083333333,3,35
43288.75,3,35
43288.7916666667,5,32
43288.8333333333,7,31
43288.875,9,27
43288.9166666667,9,27
43288.9583333333,11,23
43289,14,19
43289.0416666667,17,12
43289.0833333333,14,15
43289.125,19,9
43289.1666666667,16,12
43289.2083333333,24,5
43289.25,20,10
43289.2916666667,18,18
43289.3333333333,13,26
43289.375,6,37
43289.4166666667,6,41
43289.4583333333,8,47
43289.5,5,49
43289.5416666667,4,50
43289.5833333333,4,49
43289.625,3,49
43289.6666666667,3,49
43289.7083333333,3,47
43289.75,5,41
43289.7916666667,9,39
43289.8333333333,20,29
43289.875,16,29
43289.9166666667,11,34
43289.9583333333,8,37
43290,11,34
43290.0416666667,13,29
43290.0833333333,19,21
43290.125,18,22
43290.1666666667,36,8
43290.2083333333,36,9
43290.25,32,11
43290.2916666667,29,17
43290.3333333333,23,24
43290.375,16,37
43290.4166666667,18,42
43290.4583333333,17,49
43290.5,12,61
43290.5416666667,12,60
43290.5833333333,12,56
43290.625,14,54
43290.6666666667,8,60
43290.7083333333,6,65
43290.75,10,60
43290.7916666667,6,63
43290.8333333333,5,60
43290.875,6,59
43290.9166666667,6,58
43290.9583333333,13,52
