"Date","NO2","O3"
43101,45,2
43101.0416666667,49,1
43101.0833333333,51,-999
43101.125,52,1
43101.1666666667,49,1
43101.2083333333,48,1
43101.25,54,1
43101.2916666667,46,2
43101.3333333333,26,17
43101.375,13,26
43101.4166666667,10,30
43101.4583333333,6,33
43101.5,5,34
43101.5416666667,5,34
43101.5833333333,6,34
43101.625,10,30
43101.6666666667,14,26
43101.7083333333,9,30
43101.75,9,30
43101.7916666667,13,27
43101.8333333333,11,-999
43101.875,10,29
43101.9166666667,11,28
43101.9583333333,14,27
43102,17,23
43102.0416666667,13,26
43102.0833333333,15,24
43102.125,20,19
43102.1666666667,18,21
43102.2083333333,9,30
43102.25,11,28
43102.2916666667,14,26
43102.3333333333,14,26
43102.375,13,27
43102.4166666667,13,26
43102.4583333333,15,24
43102.5,15,24
43102.5416666667,12,27
43102.5833333333,12,28
43102.625,11,29
43102.6666666667,13,27
43102.7083333333,15,24
43102.75,16,23
43102.7916666667,16,23
43102.8333333333,14,24
43102.875,14,23
43102.9166666667,13,24
43102.9583333333,13,25
43103,9,30
43103.0416666667,9,31
43103.0833333333,10,31
43103.125,10,31
43103.1666666667,10,31
43103.2083333333,9,31
43103.25,12,31
43103.2916666667,15,29
43103.3333333333,20,23
43103.375,20,22
43103.4166666667,16,24
43103.4583333333,14,26
43103.5,16,25
43103.5416666667,18,23
43103.5833333333,20,22
43103.625,20,21
43103.6666666667,23,19
43103.7083333333,23,17
43103.75,14,24
43103.7916666667,13,23
43103.8333333333,21,17
43103.875,21,16
43103.9166666667,21,15
43103.9583333333,24,11
43104,23,11
43104.0416666667,25,9
43104.0833333333,27,7
43104.125,31,5
43104.1666666667,28,9
43104.2083333333,36,5
43104.25,36,7
43104.2916666667,37,7
43104.3333333333,35,10
43104.375,29,16
43104.4166666667,21,21
43104.4583333333,18,24
43104.5,18,24
43104.5416666667,18,24
43104.5833333333,16,25
43104.625,17,24
43104.6666666667,15,23
43104.7083333333,13,24
43104.75,15,22
43104.7916666667,13,24
43104.8333333333,10,27
43104.875,11,27
43104.9166666667,13,26
43104.9583333333,12,26
43105,15,23
43105.0416666667,14,24
43105.0833333333,13,24
43105.125,18,20
43105.1666666667,20,18
43105.2083333333,24,15
43105.25,27,13
43105.2916666667,38,7
43105.3333333333,36,8
43105.375,24,16
43105.4166666667,22,18
43105.4583333333,22,19
43105.5,20,21
43105.5416666667,22,20
43105.5833333333,19,22
43105.625,14,24
43105.6666666667,15,22
43105.7083333333,19,19
43105.75,19,19
43105.7916666667,20,20
43105.8333333333,19,20
43105.875,13,24
43105.9166666667,18,20
43105.9583333333,24,16
43106,12,24
43106.0416666667,17,20
43106.0833333333,21,17
43106.125,23,15
43106.1666666667,19,18
43106.2083333333,18,18
43106.25,16,21
43106.2916666667,23,14
43106.3333333333,22,16
43106.375,19,19
43106.4166666667,14,23
43106.4583333333,11,25
43106.5,11,26
43106.5416666667,12,26
43106.5833333333,13,26
43106.625,13,25
43106.6666666667,17,22
43106.7083333333,19,22
43106.75,18,23
43106.7916666667,21,21
43106.8333333333,29,15
43106.875,31,13
43106.9166666667,28,15
43106.9583333333,25,16
43107,38,6
43107.0416666667,45,1
43107.0833333333,45,1
43107.125,44,2
43107.1666666667,45,1
43107.2083333333,42,5
43107.25,28,14
43107.2916666667,18,22
43107.3333333333,20,21
43107.375,16,23
43107.4166666667,12,27
43107.4583333333,12,29
43107.5,12,29
43107.5416666667,15,27
43107.5833333333,13,28
43107.625,14,27
43107.6666666667,14,29
43107.7083333333,14,28
43107.75,15,27
43107.7916666667,14,28
43107.8333333333,14,27
43107.875,11,30
43107.9166666667,10,30
43107.9583333333,11,29
