"Date","NO2","O3"
43292,4,23
43292.0416666667,4,22
43292.0833333333,6,20
43292.125,11,15
43292.1666666667,16,10
43292.2083333333,21,10
43292.25,22,7
43292.2916666667,18,12
43292.3333333333,11,20
43292.375,9,25
43292.4166666667,8,29
43292.4583333333,5,30
43292.5,5,29
43292.5416666667,4,30
43292.5833333333,4,33
43292.625,4,-999
43292.6666666667,6,34
43292.7083333333,5,36
43292.75,7,35
43292.7916666667,10,33
43292.8333333333,14,35
43292.875,13,25
43292.9166666667,10,21
43292.9583333333,8,22
43293,11,19
43293.0416666667,19,12
43293.0833333333,19,10
43293.125,26,5
43293.1666666667,26,3
43293.2083333333,29,3
43293.25,33,4
43293.2916666667,35,6
43293.3333333333,32,11
43293.375,26,19
43293.4166666667,20,29
43293.4583333333,15,36
43293.5,12,36
43293.5416666667,8,33
43293.5833333333,6,32
43293.625,5,30
43293.6666666667,6,30
43293.7083333333,5,27
43293.75,6,27
43293.7916666667,12,22
43293.8333333333,37,4
43293.875,21,18
43293.9166666667,17,19
43293.9583333333,23,15
43294,25,11
43294.0416666667,29,8
43294.0833333333,26,8
43294.125,33,4
43294.1666666667,42,1
43294.2083333333,21,13
43294.25,29,8
43294.2916666667,16,18
43294.3333333333,10,-999
43294.375,10,36
43294.4166666667,7,43
43294.4583333333,8,45
43294.5,11,45
43294.5416666667,9,46
43294.5833333333,6,49
43294.625,4,49
43294.6666666667,5,44
43294.7083333333,5,41
43294.75,10,46
43294.7916666667,18,38
43294.8333333333,23,31
43294.875,19,35
43294.9166666667,24,30
43294.9583333333,27,23
43295,19,35
43295.0416666667,16,43
43295.0833333333,16,42
43295.125,12,45
43295.1666666667,14,41
43295.2083333333,14,38
43295.25,13,40
43295.2916666667,14,41
43295.3333333333,14,45
43295.375,12,49
43295.4166666667,7,58
43295.4583333333,8,58
43295.5,8,59
43295.5416666667,10,55
43295.5833333333,15,51
43295.625,9,56
43295.6666666667,12,51
43295.7083333333,24,36
43295.75,27,29
43295.7916666667,16,38
43295.8333333333,13,40
43295.875,21,30
43295.9166666667,15,31
43295.9583333333,19,26
43296,16,24
43296.0416666667,15,22
43296.0833333333,21,16
43296.125,15,19
43296.1666666667,11,20
43296.2083333333,8,25
43296.25,7,30
43296.2916666667,9,37
43296.3333333333,11,42
43296.375,6,52
43296.4166666667,3,51
43296.4583333333,2,53
43296.5,3,53
43296.5416666667,3,55
43296.5833333333,3,57
43296.625,2,57
43296.6666666667,2,60
43296.7083333333,2,60
43296.75,3,59
43296.7916666667,5,58
43296.8333333333,10,53
43296.875,6,54
43296.9166666667,7,49
43296.9583333333,9,49
43297,15,42
43297.0416666667,23,36
43297.0833333333,37,24
43297.125,27,30
43297.1666666667,12,35
43297.2083333333,24,20
43297.25,24,22
43297.2916666667,12,33
43297.3333333333,12,38
43297.375,12,41
43297.4166666667,10,51
43297.4583333333,9,53
43297.5,6,55
43297.5416666667,10,52
43297.5833333333,12,50
43297.625,14,45
43297.6666666667,18,45
43297.7083333333,24,39
43297.75,13,42
43297.7916666667,23,27
43297.8333333333,16,27
43297.875,19,22
43297.9166666667,17,24
43297.9583333333,15,26
43298,12,28
43298.0416666667,13,24
43298.0833333333,15,19
43298.125,15,19
43298.1666666667,20,12
43298.2083333333,27,11
43298.25,31,9
43298.2916666667,24,13
43298.3333333333,19,16
43298.375,14,20
43298.4166666667,10,19
43298.4583333333,9,19
43298.5,9,18
43298.5416666667,8,19
43298.5833333333,9,18
43298.625,7,18
43298.6666666667,7,18
43298.7083333333,6,18
43298.75,5,18
43298.7916666667,4,16
43298.8333333333,7,12
43298.875,8,11
43298.9166666667,9,11
43298.9583333333,8,11
