"Date","NO2","O3"
43295,19,35
43295.0416666667,16,43
43295.0833333333,16,42
43295.125,12,45
43295.1666666667,14,41
43295.2083333333,14,38
43295.25,13,40
43295.2916666667,14,41
43295.3333333333,14,45
43295.375,12,49
43295.4166666667,7,58
43295.4583333333,8,58
43295.5,8,59
43295.5416666667,10,55
43295.5833333333,15,51
43295.625,9,56
43295.6666666667,12,51
43295.7083333333,24,36
43295.75,27,29
43295.7916666667,16,38
43295.8333333333,13,40
43295.875,21,30
43295.9166666667,15,31
43295.9583333333,19,26
43296,16,24
43296.0416666667,15,22
43296.0833333333,21,16
43296.125,15,19
43296.1666666667,11,20
43296.2083333333,8,25
43296.25,7,30
43296.2916666667,9,37
43296.3333333333,11,42
43296.375,6,52
43296.4166666667,3,51
43296.4583333333,2,53
43296.5,3,53
43296.5416666667,3,55
43296.5833333333,3,57
43296.625,2,57
43296.6666666667,2,60
43296.7083333333,2,60
43296.75,3,59
43296.7916666667,5,58
43296.8333333333,10,53
43296.875,6,54
43296.9166666667,7,49
43296.9583333333,9,49
43297,15,42
43297.0416666667,23,36
43297.0833333333,37,24
43297.125,27,30
43297.1666666667,12,35
43297.2083333333,24,20
43297.25,24,22
43297.2916666667,12,33
43297.3333333333,12,38
43297.375,12,41
43297.4166666667,10,51
43297.4583333333,9,53
43297.5,6,55
43297.5416666667,10,52
43297.5833333333,12,50
43297.625,14,45
43297.6666666667,18,45
43297.7083333333,24,39
43297.75,13,42
43297.7916666667,23,27
43297.8333333333,16,27
43297.875,19,22
43297.9166666667,17,24
43297.9583333333,15,26
43298,12,28
43298.0416666667,13,24
43298.0833333333,15,19
43298.125,15,19
43298.1666666667,20,12
43298.2083333333,27,11
43298.25,31,9
43298.2916666667,24,13
43298.3333333333,19,16
43298.375,14,20
43298.4166666667,10,19
43298.4583333333,9,19
43298.5,9,18
43298.5416666667,8,19
43298.5833333333,9,18
43298.625,7,18
43298.6666666667,7,18
43298.7083333333,6,18
43298.75,5,18
43298.7916666667,4,16
43298.8333333333,7,12
43298.875,8,11
43298.9166666667,9,11
43298.9583333333,8,11
43299,7,-999
43299.0416666667,10,9
43299.0833333333,8,9
43299.125,7,9
43299.1666666667,9,7
43299.2083333333,13,4
43299.25,15,-999
43299.2916666667,9,17
43299.3333333333,6,23
43299.375,6,26
43299.4166666667,6,28
43299.4583333333,3,28
43299.5,5,28
43299.5416666667,3,31
43299.5833333333,4,33
43299.625,3,39
43299.6666666667,3,46
43299.7083333333,5,49
43299.75,3,57
43299.7916666667,8,54
43299.8333333333,7,52
43299.875,10,45
43299.9166666667,10,27
43299.9583333333,11,26
43300,14,21
43300.0416666667,15,18
43300.0833333333,18,13
43300.125,24,7
43300.1666666667,26,5
43300.2083333333,29,5
43300.25,29,7
43300.2916666667,24,14
43300.3333333333,19,20
43300.375,19,24
43300.4166666667,15,30
43300.4583333333,15,34
43300.5,10,41
43300.5416666667,9,48
43300.5833333333,5,53
43300.625,5,56
43300.6666666667,4,60
43300.7083333333,4,62
43300.75,8,64
43300.7916666667,11,62
43300.8333333333,17,57
43300.875,23,48
43300.9166666667,10,51
43300.9583333333,11,48
43301,18,38
43301.0416666667,18,39
43301.0833333333,15,36
43301.125,23,26
43301.1666666667,26,17
43301.2083333333,25,15
43301.25,27,15
43301.2916666667,17,23
43301.3333333333,11,34
43301.375,7,46
43301.4166666667,8,49
43301.4583333333,7,46
43301.5,9,46
43301.5416666667,12,47
43301.5833333333,9,51
43301.625,9,55
43301.6666666667,11,53
43301.7083333333,9,53
43301.75,13,50
43301.7916666667,16,45
43301.8333333333,11,46
43301.875,4,47
43301.9166666667,3,50
43301.9583333333,3,52
